Column1;questions;smartvote_answers;Simplified question;Unnamed: 3;Topic;Keywords;binary_smarvote_answer;huggingface_answers;cami_answer
38;ne initiative demande que la Suisse cesse d'utiliser les énergies fossiles à partir de 2050. Soutenez-vous cette propositio;1;"""Do you want to stop using fossil fuels?''";;Energy;"fossil; 2050; fuel";1;{'score': 0.1508442759513855, 'start': 5804, 'end': 5851, 'answer': 'if you decide not to make any energy transition'};2
39;ctuellement, une taxe CO2 est prélevée sur les combustibles fossiles (p. ex. mazout ou gaz naturel). Cette taxe devrait-elle également être étendue aux carburants (p. ex. essence, diesel, etc.;1;"""Should fuel be taxed?""";;Energy;"C02; natural gas";1;{'score': 0.09026100486516953, 'start': 2716, 'end': 2790, 'answer': 'we should finally tackle this problem from the point of view of efficiency'};2
40;a Confédération devrait-elle soutenir davantage les énergies renouvelable;1;"""Should we support renewable energies?""";;Energy;"renewable; energy";1;{'score': 0.21785086393356323, 'start': 2716, 'end': 2790, 'answer': 'we should finally tackle this problem from the point of view of efficiency'};2
41;es tronçons autoroutiers à forte fréquentation devraient-ils être étendus à six voie;4;"""Should high-traffic highway sections be extended to six lanes?''";;Energy;"motorway; lanes";0;{'score': 0.04735597223043442, 'start': 3134, 'end': 3171, 'answer': 'extension of the use of leopard tanks'};2
42;"tes-vous favorable à l'introduction de péages routiers (""Road pricing"") pour le transport individuel motorisé sur les routes très fréquentée";2;"""Do you support the introduction of road pricing on busy roads?""";;Energy;road pricing;1;{'score': 0.19228164851665497, 'start': 5756, 'end': 5774, 'answer': 'you will tell your'};2
43;tes-vous favorable à un assouplissement des mesures actuelles de protection des grands prédateurs (lynx, loup, ours;4;"""'Are you in favor of relaxing the current protection measures for large predators?''";;Ecology;"predators; lynx; wolf; bears";0;{'score': 0.3598422408103943, 'start': 5570, 'end': 5588, 'answer': 'we seem reasonable'};2
44;e moratoire actuel sur les plantes et les animaux génétiquement modifiés devrait-il être prolongé au-delà de 202;1;'Should the current moratorium on genetically modified plants and animals be extended?'';;Ecology;"plants; genetically modified ";1;{'score': 0.11661330610513687, 'start': 3158, 'end': 3171, 'answer': 'leopard tanks'};2
45;es paiements directs devraient-ils être accordés qu'aux exploitations agricoles qui fournissent un bilan écologique étendu (p. ex. renoncement à l'utilisation des pesticides de synthèse et limitation de l'utilisation d'antibiotiques;2;"'Should direct payments only be granted to farms that provide an ecological balance sheet ?""";;Ecology;"ecological; farms; pesticides";1;{'score': 0.06043821945786476, 'start': 6856, 'end': 6868, 'answer': 'subsidiarity'};2
46;aut-il étendre les mesures de protection de la biodiversité (p. ex. des règles plus strictes pour la construction en dehors des zones à bâtir existantes;2;"""Should biodiversity protection measures be extended?""";;Ecology;biodiversity;1;{'score': 0.11795111745595932, 'start': 5676, 'end': 5746, 'answer': 'climate change is the human influence are not a myth it is time to act'};2
47;tes-vous en faveur de réglementations plus strictes de la protection des animaux pour la détention d'animaux de rente (p. ex. l'accès permanent aux espaces extérieurs;2;"""Do you support stricter animal protection regulations for keeping livestock?"" ";;Ecology;"animal protection; livestock";1;{'score': 0.2213502675294876, 'start': 5756, 'end': 5774, 'answer': 'you will tell your'};2
48;e financement des partis ainsi que celui des campagnes pour les élections et les votations devrait-il être transparent;2;""" Should campaign financing be transparent? ''";;Politics;"campaign funding; transparency;";1;{'score': 0.1204105094075203, 'start': 8180, 'end': 8256, 'answer': 'in order to save its money doors without being looking at the sustainability'};2
49;'introduction du vote électronique lors des votations et des élections (E-Voting) devrait-elle être poursuivi;3;"""Do you support e-voting?""";;Politics;"e-voting; votes";0;{'score': 0.22673381865024567, 'start': 6885, 'end': 6905, 'answer': 'our vote this autumn'};2
50;tes-vous en faveur de l'abaissement de l'âge de vote à 16 an;3;"""Should voting at 16 be allowed""";;Politics;"voting age; 16";0;{'score': 0.06023477017879486, 'start': 6885, 'end': 6905, 'answer': 'our vote this autumn'};2
51;a Suisse devrait-elle mettre fin à l'accord de Schengen avec l'UE et réintroduire davantage de contrôles directement aux frontière;4;"""Should Switzerland end Shengen?""";;Security;"border control; schengen";0;{'score': 0.13884927332401276, 'start': 2716, 'end': 2790, 'answer': 'we should finally tackle this problem from the point of view of efficiency'};2
52;aut-il renoncer au durcissement des conditions d'admission au service civil proposé par le Conseil fédéra;2;"'Should the Federal Council's proposed tightening of the conditions for admission to civilian service be abandoned?""";;Security;civil service;1;{'score': 0.1501319855451584, 'start': 2716, 'end': 2790, 'answer': 'we should finally tackle this problem from the point of view of efficiency'};2
53;aut-il interdire l'exportation de matériel de guerre produit en Suisse;3;"""Should we export war material?""";;Security;"war material; weapons";0;{'score': 0.06011000648140907, 'start': 2716, 'end': 2790, 'answer': 'we should finally tackle this problem from the point of view of efficiency'};2
54;tes-vous favorable à l'acquisition de nouveaux avions de combat pour l'armée suisse;2;"""Are you in favor of acquiring new fighter aircraft ? ''";;Security;"aircraft; swiss army";1;{'score': 0.29630938172340393, 'start': 5570, 'end': 5588, 'answer': 'we seem reasonable'};2
55;elon vous, les moyens légaux permettant de recourir à lanalyse ADN lors denquêtes devraient-ils être étendu;2;"""Should we do more DNA analysis?""";;Security;dann;1;{'score': 0.027850601822137833, 'start': 8616, 'end': 8641, 'answer': 'biocides in the paintings'};2
56;a Suisse doit-elle entamer des négociations d'adhésion à l'Union européenne;4;"""Should Switzerland enter the European Union?""";;external_relations;EU negotiations;0;{'score': 0.05847549811005592, 'start': 5642, 'end': 5667, 'answer': 'not to enter into matters'};2
57;a Suisse devrait-elle conclure un accord de libre-échange avec les Etats-Unis;2;"""Should Switzerlad have a free trade agreement with the USA?""";;external_relations;"trade; USA ";1;{'score': 0.11681962013244629, 'start': 3158, 'end': 3171, 'answer': 'leopard tanks'};2
58;ne initiative demande que les règles de responsabilité des entreprises suisses en matière de respect des droits humains et des normes environnementales à l'étranger soient renforcées. Soutenez-vous cette proposition;4;"""Should Swiss companies have human rights and environmental standards?""";;external_relations;"human rights; environment";0;{'score': 0.2323485016822815, 'start': 5676, 'end': 5728, 'answer': 'climate change is the human influence are not a myth'};2
59;tes-vous en faveur de la candidature de la Suisse à un siège au Conseil de sécurité de l'ON;1;"""Should Switzerland have a seat in the UN Security council?""";;external_relations;security council;1;{'score': 0.0892895832657814, 'start': 5113, 'end': 5148, 'answer': 'the Vatican certainly provides them'};2
