,tweets,likes,time,politician_id,language,translated_tweets
10,Pas sûr ! Les résultats sont à ce stade très serrés pour l’AVS !,0,2022-09-25 10:20:12+00:00,CarloSommaruga,"((0, 71, 'FRENCH', 'fr'),)",Not sure! The results are at this stage very close for the AVS!
11,"Geneve, canton progressiste, dit 2 x NON à AVS 21 et NON à la suppression de l’impôt anticipé. Je suis fier des citoyennes et citoyens genevois!",35,2022-09-25 10:08:44+00:00,CarloSommaruga,"((0, 150, 'FRENCH', 'fr'),)","Geneve, progressive canton, says 2 x NO to AVS 21 and NO to the elimination of the advance tax. I am proud of the citizens of Geneva!"
12,"Alors que le Conseil fédéral annonce des déficits budgétaires pour les années à venir, il est hors de question d’offrir des cadeaux fiscaux aux multinationales. Il est important de voter et de voter NON à la suppression de l’impôt anticipé.",6,2022-09-14 08:08:53+00:00,CarloSommaruga,"((0, 253, 'FRENCH', 'fr'),)","While the Federal Council is announcing budget deficits for the coming years, it is out of the question of offering tax gifts to multinationals. It is important to vote and vote NO to abolish the advance tax."
13,Les excédents du fonds AVS pour 2020 et 2021 sont un fait vrai qui se trouve à la p.76 du Rapport de gestion 2021 du Fond AVS ! Ne vous laissez pas influencer par un fakejournaliste !,0,2022-08-26 12:28:02+00:00,CarloSommaruga,"((0, 185, 'FRENCH', 'fr'),)",The surplus of the AVS fund for 2020 and 2021 is a true fact which is at p.76 of the Management Report 2021 of the AVS Fund! Don't let yourself be influenced by a fakejournalist!
14,"Es ist pikant, dass ein Fakejournalist, aber ein echter Ideologe, dennoch eine wahre Tatsache bestreitet, die auf S. 76 des Geschäftsberichts 2021 des AHV-Fonds zu finden ist! Daher ein NEIN zu den Fakejournalisten und ein 2 x NEIN zur AHV 21.",4,2022-08-26 12:22:12+00:00,CarloSommaruga,"((0, 244, 'GERMAN', 'de'),)","It is piqued that a fake journalist, but a real ideologist, nevertheless denies a true fact, which can be found on page 76 of the Annual Report 2021 of the AHV Fund! Therefore a NO to the fake journalists and a 2 x NO to the AHV 21."
15,Les statuts permettent l’élection directe et par l’ensemble des Suissesses et Suisses de chaque pays. Certaines sections ont testé le vote general avec succès. Je suis convaincu qu’il faut que cela se généralise. Nous devons donc introduire l’è-voting aussi au sein du CSE !,1,2022-08-22 05:44:51+00:00,CarloSommaruga,"((0, 288, 'FRENCH', 'fr'),)","The statutes allow for direct election and by all the Swiss from each country. Some sections have successfully tested the general vote. I am convinced that this must be generalised, so we must also introduce voting within the SSC!"
16,Les Suisses et Suissesses sont un peuple de locataires. Ils et elles représentent 61% de la population.,5,2022-08-21 06:23:55+00:00,CarloSommaruga,"((0, 104, 'FRENCH', 'fr'),)","The Swiss are a people of tenants, and they represent 61% of the population."
17,Rencontre avec l’équipe de foot du Grand Conseil genevois à Lugano au tournoi parlementaire entre deux séances du Conseil des suisses de l’étranger ! A toute l’équipe bravo ! Genève,1,2022-08-20 11:33:57+00:00,CarloSommaruga,"((0, 193, 'FRENCH', 'fr'),)",Meeting with the football team of the Grand Council of Geneva in Lugano at the parliamentary tournament between two meetings of the Council of Swiss from abroad! To the whole team bravo! Geneva
18,"Alors que sur ma proposition le parlement a adopté en 2019 une motion demandant au Conseil fédéral de signer et ratifier le Traité d'interdiction des armes nucléaires (TIAN), le Conseil fédéral méprise le parlement et renvoie au calendes grecques la signature. cassisflop",8,2022-06-21 16:01:04+00:00,CarloSommaruga,"((0, 279, 'FRENCH', 'fr'),)","While on my proposal the parliament adopted in 2019 a motion asking the Federal Council to sign and ratify the Treaty for the Prohibition of Nuclear Weapons (TIAN), the Federal Council despises the parliament and refers to the Greek calendes the signature."
19,"C'est aujourd'hui la Journée mondiale des réfugiés, pour toutes ces personnes qui sont obligées de quitter leur pays et leurs connaissances pour échapper aux bombes, à la faim et à la dictature. Notre politique de migration et d'asile doit enfin devenir plus solidaire.",6,2022-06-20 15:55:36+00:00,CarloSommaruga,"((0, 276, 'FRENCH', 'fr'),)","Today is World Refugee Day, for all these people who are forced to leave their country and their knowledge in order to escape from bombs, hunger and dictatorship. Our migration and asylum policy must finally become more united."
20,"Le pouvoir d'achat de nombreuses personnes est soumis à une pression croissante : les salaires et les pensions stagnent, mais les prix de l'énergie, les loyers et les primes d'assurance maladie ne cessent d'augmenter.",4,2022-06-17 15:10:01+00:00,CarloSommaruga,"((0, 219, 'FRENCH', 'fr'),)","The purchasing power of many people is under increasing pressure: wages and pensions are stagnating, but energy prices, rents and health insurance premiums continue to rise."
21,"L'attitude socialement irresponsable du PLR, Centre et UDC, mettra de nombreux locataires à l'AVS ou à l'AI dans une situation financière très précaire avec risque de résiliation du contrat si les montants ne sont pas payés.",7,2022-06-15 15:07:41+00:00,CarloSommaruga,"((0, 231, 'FRENCH', 'fr'),)","The socially irresponsible attitude of the PLR, Centre and UDC will place many tenants at the AVS or the AI in a very precarious financial situation with the risk of termination of the contract if the amounts are not paid."
22,Le Conseil national a accepté ma proposition d'inscrire dans la loi sur les embargos le principe de mesures de coercition contre les personnes et les entités qui participent à de graves violations du droit international humanitaire ou à des violations des droits de l’homme.,15,2022-06-10 10:42:34+00:00,CarloSommaruga,"((0, 280, 'FRENCH', 'fr'),)",The National Council accepted my proposal to include in the embargo law the principle of coercive measures against persons and entities involved in serious violations of international humanitarian law or human rights violations.
23,"Aujourd'hui la Suisse assume finalement ça pleine responsabilité en entrant au Conseil de sécurité. Que le travail de préparation de cette élection par Mme Micheline Calmy Rey et de Monsieur Didier Burkhalter, soit correctement mis en valeur par l'actuel chef du DFAE !",18,2022-06-09 15:51:32+00:00,CarloSommaruga,"((0, 275, 'FRENCH', 'fr'),)","Today Switzerland finally assumes full responsibility by entering the Security Council. May the work of preparing for this election by Mrs. Micheline Calmy Rey and Mr. Didier Burkhalter, be properly highlighted by the current head of the DFAE!"
24,"La majorité bourgeoise décide d'augmenter le budget de l'armée sans discuter au préalable d'une stratégie.
Il convient d'abord de s'attaquer aux principaux risques, à savoir la dépendance à l'égard du gaz et du pétrole, le changement climatique, l'accroissement des inégalités.",10,2022-06-02 11:45:29+00:00,CarloSommaruga,"((0, 289, 'FRENCH', 'fr'),)","The bourgeois majority decided to increase the army's budget without first discussing a strategy. First of all, it was necessary to tackle the main risks, namely dependence on gas and oil, climate change and increasing inequalities."
25,"La Banque nationale suisse (BNS) amasse des milliards de bénéfices. Cet argent appartient à la population et doit enfin nous revenir. C’est précisément ce que veut l’initiative sur la BNS : avec elle, nous pourrons renforcer l’AVS sans toucher au portemonnaie des travailleur.",4,2022-05-24 15:50:13+00:00,CarloSommaruga,"((0, 287, 'FRENCH', 'fr'),)","The Swiss National Bank (SNB) collects billions of profits. This money belongs to the population and must finally come back to us. This is precisely what the SNB initiative wants: with it, we can strengthen the AVS without touching the workers' wallet."
26,"Le PS Migrant-es demande les mêmes droits pour toutes les personnes fuyant la guerre
Lors de leur Conférence des délégué-es du samedi 21 mai à Berne, le PS Migrant-es a adopté un papier de position qui demande les mêmes droits pour toutes les personnes fuyant la guerre.",32,2022-05-24 10:35:49+00:00,CarloSommaruga,"((0, 278, 'FRENCH', 'fr'),)","The PS Migrant-es demands the same rights for all people fleeing the war At their Conference of Delegates on Saturday 21 May in Bern, the PS Migrant-es has adopted a position paper that demands the same rights for all people fleeing the war."
27,"Les accords prévoient qu’en cas de rejet d’un développement de Schengen-Dublin, les parties ont trois mois (90 jours) pour trouver une solution et que seulement en cas d’absence de solution, la Suisse sort des accords.",1,2022-05-12 18:03:29+00:00,CarloSommaruga,"((0, 226, 'FRENCH', 'fr'),)","The agreements provide that, in the event of a rejection of a development of Schengen-Dublin, the parties have three months (90 days) to find a solution and that only in the event of a lack of a solution, Switzerland emerges from the agreements."
28,"A Bruxelles pour un séminaire  Suisse-UE, diverses rencontres au menu aussi avec l’ambassadrice suisse et le commissaire européen en charge du dossier Suisse. Mais on commence tout de même avec une bonne bière belge !",8,2022-05-11 18:31:42+00:00,CarloSommaruga,"((0, 223, 'FRENCH', 'fr'),)","In Brussels for a Swiss-EU seminar, various meetings on the menu also with the Swiss ambassador and the European Commissioner in charge of the Swiss case. But we still start with a good Belgian beer!"
29,Task-Force sur les avoirs des oligarques proches de Poutine. Enfin une session extraordinaire pour améliorer les outils de d'identifications la fortune.,6,2022-05-11 10:12:38+00:00,CarloSommaruga,"((0, 153, 'FRENCH', 'fr'),)",Task-Force on the assets of oligarchs close to Putin. Finally an extraordinary session to improve the tools of identification of fortune.
30,"Votations 15 MAI 2022

 Modification de la loi sur le cinéma
 Modification de la loi sur la transplantation
 Augmentation du financement de Frontex",4,2022-05-09 11:12:05+00:00,CarloSommaruga,"((0, 148, 'FRENCH', 'fr'),)",Votes 15 MAY 2022 Amendment to the Cinema Act Amendment to the Transplantation Act Increase in Frontex funding
31,Laisser un régime écraser un peuple et priver le sien de toute liberté c’est assurer aussi au niveau économique des conditions de vie indignes à des millions de personnes. En Suisse et au sein de l’UE  il faut se battre pour une juste répartition de la richesse et du revenu.,0,2022-05-06 10:11:38+00:00,CarloSommaruga,"((0, 285, 'FRENCH', 'fr'),)",To allow a regime to crush a people and deprive its people of all freedom is also to ensure the economic conditions of life unworthy to millions of people. In Switzerland and within the EU we must fight for a fair distribution of wealth and income.
32,"En ce 3 mai, Journée internationale de la liberté de la presse, Il est essentiel de rappeler à tous les Etats, la Suisse aussi, la nécessité de respecter leur engagement en faveur de la presse.",11,2022-05-03 21:43:58+00:00,CarloSommaruga,"((0, 198, 'FRENCH', 'fr'),)","On this 3rd May, International Press Freedom Day, It is essential to remind all States, also Switzerland, of the need to respect their commitment to the press."
33,"Les nombreux rapports de violations des droits de l'homme, la diminution des missions de sauvetage officielles, la coopération avec des garde-côtes de pays non européens connus pour leurs systèmes de détention inhumains sont autant de questions que nous ne pouvons oublier.",8,2022-05-02 14:37:24+00:00,CarloSommaruga,"((0, 278, 'FRENCH', 'fr'),)","The numerous reports of human rights violations, the reduction of official rescue missions, cooperation with coastguards from non-European countries known for their inhuman detention systems are all issues that we cannot forget."
34,"Le monde du travail est de plus en plus précaire : travail sur appel, sous-payé, gratuit. Les inégalités augmentent, les disparités salariales entre les femmes et les hommes sont toujours présentes, le pouvoir d'achat diminue.",26,2022-05-01 15:48:26+00:00,CarloSommaruga,"((0, 232, 'FRENCH', 'fr'),)","The world of work is increasingly precarious: on-call work, underpaid, free of charge. Inequalities are increasing, wage disparities between women and men are still present, purchasing power is decreasing."
35,Le Conseil fédéral aurait bien mieux à faire ! Par exemple lancer une initiative politique pour renforcer le droit international pour protéger les installations nucléaires civiles en cas de conflit. Une initiative clairement dans l’ADN de la Suisse.,2,2022-04-30 15:31:56+00:00,CarloSommaruga,"((0, 256, 'FRENCH', 'fr'),)","The Federal Council would have much better to do! For example, launch a political initiative to strengthen international law to protect civilian nuclear installations in the event of a conflict. A clear initiative in Switzerland's DNA."
36,"Votations 15 MAI 2022

 Modification de la loi sur le cinéma
 Modification de la loi sur la transplantation
 Augmentation du financement de Frontex",22,2022-04-23 07:08:11+00:00,CarloSommaruga,"((0, 148, 'FRENCH', 'fr'),)",Votes 15 MAY 2022 Amendment to the Cinema Act Amendment to the Transplantation Act Increase in Frontex funding
37,"Viol: seul un oui est un oui ! C’est la volonté claire de lamajorité de population. Le parlement doit suivre.

Sondage de Amnesty:",0,2022-04-13 14:58:44+00:00,CarloSommaruga,"((0, 134, 'FRENCH', 'fr'),)",Rape: only a yes is a yes! It is the clear will of the majority of the population. Parliament must follow. Amnesty poll:
38,Salutations à tous les musulmans de Suisse en ce jour du début de Ramandan.,6,2022-04-02 20:52:51+00:00,CarloSommaruga,"((0, 77, 'FRENCH', 'fr'),)",Greetings to all Muslims in Switzerland on this day of the beginning of Ramandan.
39,Paix ! Paix! Arrêts immédiat des combats ! Retrait des troupes Russes du territoire ukrainien. Mise en œuvre des sanctions contre les agresseurs. Justice internationale pour les criminels de guerre!,23,2022-04-02 13:13:25+00:00,CarloSommaruga,"((0, 201, 'FRENCH', 'fr'),)",Peace! Peace! Immediate cessation of fighting! Withdrawal of Russian troops from Ukrainian territory. Implementation of sanctions against aggressors. International justice for war criminals!
40,"Face à l'augmentation des coûts du chauffage, pour combattre la précarité, il faut une allocation énergétique, le Conseil fédéral doit agir vite !",5,2022-03-31 14:59:50+00:00,CarloSommaruga,"((0, 154, 'FRENCH', 'fr'),)","In the face of rising heating costs, to combat insecurity, we need an energy allocation, the Federal Council must act quickly!"
41,150’000 signatures déposées aujourd'hui contre le projet AVS 21. Forte mobilisation citoyenne contre le projet de démantèlement de l'AVS qui prévoit le relèvement de l'âge de la retraite des femmes pour permettre des économies de 7 milliards de francs d’ici à 2030.,2,2022-03-25 15:55:05+00:00,CarloSommaruga,"((0, 278, 'FRENCH', 'fr'),)","150,000 signatures filed today against the AVS 21 project. Strong citizen mobilization against the plan to dismantle the AVS which provides for the raising of the retirement age of women to allow savings of 7 billion francs by 2030."
42,"Entré au Parlement ce matin à 7h00, je le quitte a l’instant pour rejoindre les Genevoises et Genevois de Berne !",3,2022-03-16 18:26:14+00:00,CarloSommaruga,"((0, 117, 'FRENCH', 'fr'),)","Joining Parliament this morning at 7:00 a.m., I leave him now to join the Geneva and Geneva Bern!"
43,"Face à la menace nucléaire, la Suisse n'a pas besoin d'une augmentation du budget militaire, mais doit signer immédiatement le Traité d'interdiction des armes nucléaires, comme le demande le Parlement depuis 2018 !",51,2022-03-15 16:47:42+00:00,CarloSommaruga,"((0, 219, 'FRENCH', 'fr'),)","Faced with the nuclear threat, Switzerland does not need an increase in the military budget, but must immediately sign the Treaty for the Prohibition of Nuclear Weapons, as Parliament has been calling for since 2018!"
44,Une motion en faveur des personnes souffrant de la maladie d'Alzheimer et de démence a été rejetée aujourd'hui par la majorité bourgeoise du Conseil des États.,19,2022-03-14 18:45:30+00:00,CarloSommaruga,"((0, 165, 'FRENCH', 'fr'),)",A motion in favour of people suffering from Alzheimer's disease and dementia was rejected today by the bourgeois majority of the Council of States.
45,"Comme toute la Suisse je participe à la solidarité avec l’Ukraine !  que j’ai l’honneur de présider est delà sur le terrain en Roumanie en soutien aux femmes et enfants qui fuient la guerre. 

Lien pour aider:",8,2022-03-09 17:58:22+00:00,CarloSommaruga,"((0, 219, 'FRENCH', 'fr'),)",Like all of Switzerland I participate in solidarity with Ukraine! which I have the honour to preside over is beyond the field in Romania in support of women and children fleeing the war. Link to help:
46,"Solidarité aujourd'hui à l’occasion de la journée internationale des femmes. J’exprime ma solidarité avec les femmes qui en Ukraine, dans le monde et ici en Suisse, se battent pour la liberté, la dignité et l'égalité !
8mars",7,2022-03-08 14:50:29+00:00,CarloSommaruga,"((0, 236, 'FRENCH', 'fr'),)","Solidarity today on the occasion of the International Women's Day. I express my solidarity with the women who in Ukraine, in the world and here in Switzerland, are fighting for freedom, dignity and equality!"
47,"Magnifique solidarité avec le peuple ukrainien qui se bat pour sa liberté et le libre choix de son avenir. Que chacune et chacun s’associe à cette lutte essentielle pour la paix, la démocratie et les libertés fondamentales en Ukraine, en Europe et dans le monde.",15,2022-03-05 17:11:36+00:00,CarloSommaruga,"((0, 269, 'FRENCH', 'fr'),)","Magnificent solidarity with the Ukrainian people who are fighting for their freedom and the free choice of their future. Let everyone join in this essential struggle for peace, democracy and fundamental freedoms in Ukraine, Europe and the world."
48,Cérémonie d’ouverture du 20ème Festival du film et forum international! Une occasion unique pour saluer le combat mené par des femmes et des hommes à travers le monde pour les droits humains et la dignité de chacune et chacun !   droitshumains,13,2022-03-04 18:44:09+00:00,CarloSommaruga,"((0, 251, 'FRENCH', 'fr'),)",Opening ceremony of the 20th International Film Festival and Forum! A unique opportunity to salute the fight led by women and men around the world for human rights and dignity of everyone! Human rights
49,"Le CreditSuisse qui blanchit l’argent de trafiquants bulgares, accepte l’argent de la corruption et détruit des preuves pour contourner les sanctions européennes doit-il être sanctionné pénalement comme organisation criminelle au sens du code pénal ?",6,2022-03-02 10:27:24+00:00,CarloSommaruga,"((0, 260, 'FRENCH', 'fr'),)","Does CreditSwitzerland, which launders money from Bulgarian traffickers, accepts money from corruption and destroys evidence to circumvent European sanctions, have to be criminally punished as a criminal organisation within the meaning of the Criminal Code?"
50,Faire un don : Soutien aux personnes qui fuient la guerre en Ukraine. Une action conjointe entre le  et,2,2022-03-01 14:20:38+00:00,CarloSommaruga,"((0, 103, 'FRENCH', 'fr'),)",Make a donation: Support for people fleeing the war in Ukraine. Joint action between the
51,Finalement ! Le Conseil fédéral prend la mesure de la gravité de la situation et de la nécessité de s’unir avec l’UE contre l’agression contre l’Ukraine ! Merci à toutes les citoyennes et citoyens qui se sont mobilisés pour faire bouger le Conseil fédéral FreeUkraina,19,2022-02-28 13:39:28+00:00,CarloSommaruga,"((0, 284, 'FRENCH', 'fr'),)",Finally! The Federal Council takes note of the gravity of the situation and the need to unite with the EU against aggression against Ukraine! Thank you to all the citizens who have mobilized to move the FreeUkraina Federal Council
52,Une étude montre le hold-up permanent contre les locataires : 78 milliards de francs de 2006 à 2021. 370.- frs par mois de loyer en trop par ménage en 2021 ! Il faut un contrôle des loyers !,4,2022-02-27 14:12:03+00:00,CarloSommaruga,"((0, 194, 'FRENCH', 'fr'),)",A study shows the permanent holding-up against tenants: 78 billion francs from 2006 to 2021. 370.- frs per month of rent in excess per household in 2021! We need a control of rents!
53,Depuis des années les bailleurs/investisseurs pratique un hold-up permanent contre les locataires.  Un scandale que confirme une nouvelle étude.,2,2022-02-27 09:02:48+00:00,CarloSommaruga,"((0, 146, 'FRENCH', 'fr'),)","For years, lenders/investors have been engaged in a permanent holding-up against tenants, a scandal confirmed by a new study."
54,"Alors qu'un Etat européen est liquidé par la force, le Conseil fédéral interdit uniquement la conclusion de nouvelles relations d'affaires avec les personnes et entités sanctionnées par l'UE. Inadmissible ! Scandaleux ! Signer la pétition !",6,2022-02-25 14:21:03+00:00,CarloSommaruga,"((0, 247, 'FRENCH', 'fr'),)","While a European state is liquidated by force, the Federal Council only prohibits the conclusion of new business relations with EU-sanctioned individuals and entities. Inadmissible! Scandalous! Sign the petition!"
55,APPEL POUR L'UKRAINE - DES SANCTIONS CONTRE LE RÉGIME DE POUTINE !,5,2022-02-25 10:42:18+00:00,CarloSommaruga,"((0, 67, 'FRENCH', 'fr'),)",CALL FOR UKRAINE - SANCTIONS AGAINST THE POUTINE PLAN!
56,"Avec le  nous exigeons qu’au delà des déclarations, le CF prenne des mesures au niveau des finances et du trading des matières premières russes en Suisse.",1,2022-02-24 11:01:34+00:00,CarloSommaruga,"((0, 160, 'FRENCH', 'fr'),)","With it we demand that beyond the declarations, the CF take measures in terms of finance and trading of Russian raw materials in Switzerland."
57,"Ukraine : Agression totale par la Russie contre un État indépendant! Poutine foule aux pieds non seulement le droit international public, le principe de souveraineté des États, mais aussi les valeurs de démocratie et des DroitsHumains. Il y a danger pour les démocraties!",17,2022-02-24 10:33:34+00:00,CarloSommaruga,"((0, 277, 'FRENCH', 'fr'),)","Ukraine: Russia's total aggression against an independent state! Putin is trampling not only on public international law, the principle of state sovereignty, but also on the values of democracy and human rights. There is a danger for democracies!"
58,"Les révélations de SuisseSecrets montrent la nécessité d'agir de manière déterminée contre le blanchiment d'argent pour garantir une place financière suisse propre. Il est temps de renforcer les pouvoirs d'enquête et de sanction de la FINMA, notre régulateur financier.",15,2022-02-21 17:40:28+00:00,CarloSommaruga,"((0, 279, 'FRENCH', 'fr'),)","The revelations of SwitzerlandSecrets show the need to act decisively against money laundering in order to guarantee a Swiss financial centre of its own. It is time to strengthen the powers of investigation and sanction of FINMA, our financial regulator."
59,"Sauvegarde du patrimoine: remise en service du Rhône, magnifique bâtiment de la Belle époque. Moment important de la conservation du patrimoine lémanique rendu possible aussi par l’engagement du Canton de Geneve. La présence politique genevoise s’imposait.",4,2022-02-15 18:19:28+00:00,CarloSommaruga,"((0, 265, 'FRENCH', 'fr'),)","Preservation of the heritage: the Rhone, a magnificent building of the Belle époque. Important moment in the conservation of the Lemanic heritage made possible also by the commitment of the Canton of Geneva. The Geneva political presence was necessary."
60,"Le co-president du  « Il y a un ras-le-bol. Les loyers augmentent, les primes prennent l’ascenseur, les rentes sont sous pression et les salaires stagnent. Il est temps que la richesse de ce pays revienne à ses habitantes et habitants ».",2,2022-02-15 15:25:45+00:00,CarloSommaruga,"((0, 243, 'FRENCH', 'fr'),)","The co-president of the ""There is a ras-le-bol. Rent increases, premiums take the elevator, rents are under pressure and wages stagnate. It is time that the wealth of this country returned to its inhabitants""."
61,"Fier du vote des citoyennes et citoyens de Genève qui disent NON aux cadeaux fiscaux aux sociétés multimillionnaires, NON au lobby du tabac et OUI au renforcement de la démocratie par l’aide aux médias.   GEvote CHvote",16,2022-02-13 11:39:54+00:00,CarloSommaruga,"((0, 225, 'FRENCH', 'fr'),)","Proud of the vote of citizens of Geneva who say NO to tax gifts to multi-millionaire companies, NO to the tobacco lobby and YES to the strengthening of democracy through media support. GEvote CHvote"
62,"[SEMAINE D’UN PARLEMENTAIRE]
Jeudi:
À Genève, journée de travail sur les dossiers de commissions avec visite du Grand-Conseil en présence de son président Diego Esteban. Belle réussite architecturale et excellent nouveau instrument de travail pour nos députés cantonaux.",3,2022-02-10 18:36:09+00:00,CarloSommaruga,"((0, 280, 'FRENCH', 'fr'),)","[WEEKLY PARLIAMENTARY] Thursday: In Geneva, working day on committee files with visit of the Grand Council in the presence of its President Diego Esteban. Beautiful architectural success and excellent new working instrument for our cantonal deputies."
63,"[SEMAINE D’UN PARLEMENTAIRE]
Mercredi:
À Berne avec la délégation parlementaire pour la Francophonie pour défendre mon projet d'un rapport international sur la restitution des biens culturels coloniaux spoliés.",1,2022-02-09 18:49:15+00:00,CarloSommaruga,"((0, 217, 'FRENCH', 'fr'),)",Wednesday: In Bern with the parliamentary delegation for La Francophonie to defend my draft of an international report on the restitution of spoliated colonial cultural property.
64,"[SEMAINE D’UN PARLEMENTAIRE]
Mardi:
Bruxelles au comite parlementaire de l’AELE pour une rencontre avec des parlementaires européens au sujet de la taxe carbone aux frontières.",5,2022-02-08 18:10:08+00:00,CarloSommaruga,"((0, 182, 'FRENCH', 'fr'),)",Tuesday: Brussels at the EFTA parliamentary committee for a meeting with European parliamentarians on the carbon tax at the borders.
65,"[SEMAINE D’UN PARLEMENTAIRE]
Lundi :
À Berne avec la délégation parlementaire pour l'OCDE - premiers travaux sur les questions fiscales et la décarbonisation de l'économie",2,2022-02-08 09:07:41+00:00,CarloSommaruga,"((0, 178, 'FRENCH', 'fr'),)",[WEEKLY PARLIAMENTARY] Monday: In Bern with the parliamentary delegation for the OECD - first work on tax issues and the decarbonisation of the economy
66,Bureau suisse à Jérusalem-Est: clap de fin! Mais où va le  ? Il laisse faire la colonisation israélienne sans stratégie propre ou coordonnée pour entraver l’extension et la consolidation des colonies sur territoire de Palestine,10,2022-02-05 13:26:20+00:00,CarloSommaruga,"((0, 235, 'FRENCH', 'fr'),)",Swiss office in East Jerusalem: clap of end! But where is it going? He lets Israeli colonization do without a proper or coordinated strategy to hinder the expansion and consolidation of settlements in Palestinian territory
67,"Rencontre avec Dhondup Wangchen, tibetain, condamné au Tibet en 2009 à 6 ans de prison par le pouvoir chinois pour un film d’interviews de ses compatriotes au sujet des JeuxOlympiques qui allaient s’ouvrir à Pékin en 2008...En 2022, ce film ne pourrait même pas être réalisé!",7,2022-02-04 18:35:06+00:00,CarloSommaruga,"((0, 287, 'FRENCH', 'fr'),)","Meet Dhondup Wangchen, Tibetan, sentenced in Tibet in 2009 to 6 years in prison by the Chinese government for a film interviews of his compatriots about the Olympic Games that were to open in Beijing in 2008...In 2022, this film could not even be made!"
68,Importance de la journée de la mémoire pour ne pas oublier le passé et combattre les discours de haine et de déshumanisation de l’autre.,14,2022-01-27 16:13:27+00:00,CarloSommaruga,"((0, 142, 'FRENCH', 'fr'),)",The importance of the day of memory not to forget the past and to combat hate speech and dehumanization of the other.
