Unnamed: 0,tweets,likes,time,politician_id,language,translated_tweets
88,Laisser un régime écraser un peuple et priver le sien de toute liberté c’est assurer aussi au niveau économique des conditions de vie indignes à des millions de personnes. En Suisse et au sein de l’UE  il faut se battre pour une juste répartition de la richesse et du revenu.,0,2022-05-06 10:11:38+00:00,CarloSommaruga,"((0, 285, 'FRENCH', 'fr'),)",[{'translation_text': 'To allow a regime to crush a people and deprive its people of all freedom is also to ensure the economic conditions of life unworthy to millions of people. In Switzerland and within the EU we must fight for a fair distribution of wealth and income.'}]
90,"En ce 3 mai, Journée internationale de la liberté de la presse, Il est essentiel de rappeler à tous les Etats, la Suisse aussi, la nécessité de respecter leur engagement en faveur de la presse.",11,2022-05-03 21:43:58+00:00,CarloSommaruga,"((0, 198, 'FRENCH', 'fr'),)","[{'translation_text': 'On this 3rd May, International Press Freedom Day, It is essential to remind all States, also Switzerland, of the need to respect their commitment to the press.'}]"
92,"Les nombreux rapports de violations des droits de l'homme, la diminution des missions de sauvetage officielles, la coopération avec des garde-côtes de pays non européens connus pour leurs systèmes de détention inhumains sont autant de questions que nous ne pouvons oublier.",8,2022-05-02 14:37:24+00:00,CarloSommaruga,"((0, 278, 'FRENCH', 'fr'),)","[{'translation_text': 'The numerous reports of human rights violations, the reduction of official rescue missions, cooperation with coastguards from non-European countries known for their inhuman detention systems are all issues that we cannot forget.'}]"
93,"Le monde du travail est de plus en plus précaire : travail sur appel, sous-payé, gratuit. Les inégalités augmentent, les disparités salariales entre les femmes et les hommes sont toujours présentes, le pouvoir d'achat diminue.",26,2022-05-01 15:48:26+00:00,CarloSommaruga,"((0, 232, 'FRENCH', 'fr'),)","[{'translation_text': 'The world of work is increasingly precarious: on-call work, underpaid, free of charge. Inequalities are increasing, wage disparities between women and men are still present, purchasing power is decreasing.'}]"
94,Le Conseil fédéral aurait bien mieux à faire ! Par exemple lancer une initiative politique pour renforcer le droit international pour protéger les installations nucléaires civiles en cas de conflit. Une initiative clairement dans l’ADN de la Suisse.,2,2022-04-30 15:31:56+00:00,CarloSommaruga,"((0, 256, 'FRENCH', 'fr'),)","[{'translation_text': ""The Federal Council would have much better to do! For example, launch a political initiative to strengthen international law to protect civilian nuclear installations in the event of a conflict. A clear initiative in Switzerland's DNA.""}]"
99,"Votations 15 MAI 2022

 Modification de la loi sur le cinéma
 Modification de la loi sur la transplantation
 Augmentation du financement de Frontex",22,2022-04-23 07:08:11+00:00,CarloSommaruga,"((0, 148, 'FRENCH', 'fr'),)",[{'translation_text': 'Votes 15 MAY 2022 Amendment to the Cinema Act Amendment to the Transplantation Act Increase in Frontex funding'}]
100,"Viol: seul un oui est un oui ! C’est la volonté claire de lamajorité de population. Le parlement doit suivre.

Sondage de Amnesty:",0,2022-04-13 14:58:44+00:00,CarloSommaruga,"((0, 134, 'FRENCH', 'fr'),)",[{'translation_text': 'Rape: only a yes is a yes! It is the clear will of the majority of the population. Parliament must follow. Amnesty poll:'}]
105,Salutations à tous les musulmans de Suisse en ce jour du début de Ramandan.,6,2022-04-02 20:52:51+00:00,CarloSommaruga,"((0, 77, 'FRENCH', 'fr'),)",[{'translation_text': 'Greetings to all Muslims in Switzerland on this day of the beginning of Ramandan.'}]
106,Paix ! Paix! Arrêts immédiat des combats ! Retrait des troupes Russes du territoire ukrainien. Mise en œuvre des sanctions contre les agresseurs. Justice internationale pour les criminels de guerre!,23,2022-04-02 13:13:25+00:00,CarloSommaruga,"((0, 201, 'FRENCH', 'fr'),)",[{'translation_text': 'Peace! Peace! Immediate cessation of fighting! Withdrawal of Russian troops from Ukrainian territory. Implementation of sanctions against aggressors. International justice for war criminals!'}]
107,"Face à l'augmentation des coûts du chauffage, pour combattre la précarité, il faut une allocation énergétique, le Conseil fédéral doit agir vite !",5,2022-03-31 14:59:50+00:00,CarloSommaruga,"((0, 154, 'FRENCH', 'fr'),)","[{'translation_text': 'In the face of rising heating costs, to combat insecurity, we need an energy allocation, the Federal Council must act quickly!'}]"
110,150’000 signatures déposées aujourd'hui contre le projet AVS 21. Forte mobilisation citoyenne contre le projet de démantèlement de l'AVS qui prévoit le relèvement de l'âge de la retraite des femmes pour permettre des économies de 7 milliards de francs d’ici à 2030.,2,2022-03-25 15:55:05+00:00,CarloSommaruga,"((0, 278, 'FRENCH', 'fr'),)","[{'translation_text': '150,000 signatures filed today against the AVS 21 project. Strong citizen mobilization against the plan to dismantle the AVS which provides for the raising of the retirement age of women to allow savings of 7 billion francs by 2030.'}]"
115,"Cejna Newroz’e piroz be Hem u kurde jiyan dikin Çar parçe kurdistan (Turki, Rojava, Iran, Iraq) hemu girtigehun et Swisre.",5,2022-03-21 15:20:39+00:00,CarloSommaruga,"((0, 126, 'Unknown', 'un'),)",NA
116,Journée internationale contre le racisme,6,2022-03-21 10:20:29+00:00,CarloSommaruga,"((0, 41, 'Unknown', 'un'),)",NA
117,"Entré au Parlement ce matin à 7h00, je le quitte a l’instant pour rejoindre les Genevoises et Genevois de Berne !",3,2022-03-16 18:26:14+00:00,CarloSommaruga,"((0, 117, 'FRENCH', 'fr'),)","[{'translation_text': 'Joining Parliament this morning at 7:00 a.m., I leave him now to join the Geneva and Geneva Bern!'}]"
118,"Face à la menace nucléaire, la Suisse n'a pas besoin d'une augmentation du budget militaire, mais doit signer immédiatement le Traité d'interdiction des armes nucléaires, comme le demande le Parlement depuis 2018 !",51,2022-03-15 16:47:42+00:00,CarloSommaruga,"((0, 219, 'FRENCH', 'fr'),)","[{'translation_text': 'Faced with the nuclear threat, Switzerland does not need an increase in the military budget, but must immediately sign the Treaty for the Prohibition of Nuclear Weapons, as Parliament has been calling for since 2018!'}]"
119,Une motion en faveur des personnes souffrant de la maladie d'Alzheimer et de démence a été rejetée aujourd'hui par la majorité bourgeoise du Conseil des États.,19,2022-03-14 18:45:30+00:00,CarloSommaruga,"((0, 165, 'FRENCH', 'fr'),)","[{'translation_text': ""A motion in favour of people suffering from Alzheimer's disease and dementia was rejected today by the bourgeois majority of the Council of States.""}]"
122,"Comme toute la Suisse je participe à la solidarité avec l’Ukraine !  que j’ai l’honneur de présider est delà sur le terrain en Roumanie en soutien aux femmes et enfants qui fuient la guerre. 

Lien pour aider:",8,2022-03-09 17:58:22+00:00,CarloSommaruga,"((0, 219, 'FRENCH', 'fr'),)",[{'translation_text': 'Like all of Switzerland I participate in solidarity with Ukraine! which I have the honour to preside over is beyond the field in Romania in support of women and children fleeing the war. Link to help:'}]
123,"Solidarité aujourd'hui à l’occasion de la journée internationale des femmes. J’exprime ma solidarité avec les femmes qui en Ukraine, dans le monde et ici en Suisse, se battent pour la liberté, la dignité et l'égalité !
8mars",7,2022-03-08 14:50:29+00:00,CarloSommaruga,"((0, 236, 'FRENCH', 'fr'),)","[{'translation_text': ""Solidarity today on the occasion of the International Women's Day. I express my solidarity with the women who in Ukraine, in the world and here in Switzerland, are fighting for freedom, dignity and equality!""}]"
125,"Magnifique solidarité avec le peuple ukrainien qui se bat pour sa liberté et le libre choix de son avenir. Que chacune et chacun s’associe à cette lutte essentielle pour la paix, la démocratie et les libertés fondamentales en Ukraine, en Europe et dans le monde.",15,2022-03-05 17:11:36+00:00,CarloSommaruga,"((0, 269, 'FRENCH', 'fr'),)","[{'translation_text': 'Magnificent solidarity with the Ukrainian people who are fighting for their freedom and the free choice of their future. Let everyone join in this essential struggle for peace, democracy and fundamental freedoms in Ukraine, Europe and the world.'}]"
126,Cérémonie d’ouverture du 20ème Festival du film et forum international! Une occasion unique pour saluer le combat mené par des femmes et des hommes à travers le monde pour les droits humains et la dignité de chacune et chacun !   droitshumains,13,2022-03-04 18:44:09+00:00,CarloSommaruga,"((0, 251, 'FRENCH', 'fr'),)",[{'translation_text': 'Opening ceremony of the 20th International Film Festival and Forum! A unique opportunity to salute the fight led by women and men around the world for human rights and dignity of everyone! Human rights'}]
127,Soirée d’ouverture du Fes,4,2022-03-04 18:39:38+00:00,CarloSommaruga,"((0, 28, 'Unknown', 'un'),)",NA
131,Un million de personnes ont fui la guerre et l'agression russe contre l'Ukraine. Ce nombre dramatique va encore augmenter. Le UNHCR a déclaré la l’urgence maximale. Solidarité avec l’Ukraine,10,2022-03-03 09:57:51+00:00,CarloSommaruga,"((0, 197, 'Unknown', 'un'),)",NA
133,"Le CreditSuisse qui blanchit l’argent de trafiquants bulgares, accepte l’argent de la corruption et détruit des preuves pour contourner les sanctions européennes doit-il être sanctionné pénalement comme organisation criminelle au sens du code pénal ?",6,2022-03-02 10:27:24+00:00,CarloSommaruga,"((0, 260, 'FRENCH', 'fr'),)","[{'translation_text': 'Does CreditSwitzerland, which launders money from Bulgarian traffickers, accepts money from corruption and destroys evidence to circumvent European sanctions, have to be criminally punished as a criminal organisation within the meaning of the Criminal Code?'}]"
135,Faire un don : Soutien aux personnes qui fuient la guerre en Ukraine. Une action conjointe entre le  et,2,2022-03-01 14:20:38+00:00,CarloSommaruga,"((0, 103, 'FRENCH', 'fr'),)",[{'translation_text': 'Make a donation: Support for people fleeing the war in Ukraine. Joint action between the'}]
138,Finalement ! Le Conseil fédéral prend la mesure de la gravité de la situation et de la nécessité de s’unir avec l’UE contre l’agression contre l’Ukraine ! Merci à toutes les citoyennes et citoyens qui se sont mobilisés pour faire bouger le Conseil fédéral FreeUkraina,19,2022-02-28 13:39:28+00:00,CarloSommaruga,"((0, 284, 'FRENCH', 'fr'),)",[{'translation_text': 'Finally! The Federal Council takes note of the gravity of the situation and the need to unite with the EU against aggression against Ukraine! Thank you to all the citizens who have mobilized to move the FreeUkraina Federal Council'}]
143,Une étude montre le hold-up permanent contre les locataires : 78 milliards de francs de 2006 à 2021. 370.- frs par mois de loyer en trop par ménage en 2021 ! Il faut un contrôle des loyers !,4,2022-02-27 14:12:03+00:00,CarloSommaruga,"((0, 194, 'FRENCH', 'fr'),)",[{'translation_text': 'A study shows the permanent holding-up against tenants: 78 billion francs from 2006 to 2021. 370.- frs per month of rent in excess per household in 2021! We need a control of rents!'}]
148,Loyers: «C'est un hold-up permanent» -,2,2022-02-27 11:16:08+00:00,CarloSommaruga,"((0, 40, 'ENGLISH', 'en'),)",NA
149,Depuis des années les bailleurs/investisseurs pratique un hold-up permanent contre les locataires.  Un scandale que confirme une nouvelle étude.,2,2022-02-27 09:02:48+00:00,CarloSommaruga,"((0, 146, 'FRENCH', 'fr'),)","[{'translation_text': 'For years, lenders/investors have been engaged in a permanent holding-up against tenants, a scandal confirmed by a new study.'}]"
151,"Alors qu'un Etat européen est liquidé par la force, le Conseil fédéral interdit uniquement la conclusion de nouvelles relations d'affaires avec les personnes et entités sanctionnées par l'UE. Inadmissible ! Scandaleux ! Signer la pétition !",6,2022-02-25 14:21:03+00:00,CarloSommaruga,"((0, 247, 'FRENCH', 'fr'),)","[{'translation_text': 'While a European state is liquidated by force, the Federal Council only prohibits the conclusion of new business relations with EU-sanctioned individuals and entities. Inadmissible! Scandalous! Sign the petition!'}]"
152,APPEL POUR L'UKRAINE - DES SANCTIONS CONTRE LE RÉGIME DE POUTINE !,5,2022-02-25 10:42:18+00:00,CarloSommaruga,"((0, 67, 'FRENCH', 'fr'),)",[{'translation_text': 'CALL FOR UKRAINE - SANCTIONS AGAINST THE POUTINE PLAN!'}]
154,"Avec le  nous exigeons qu’au delà des déclarations, le CF prenne des mesures au niveau des finances et du trading des matières premières russes en Suisse.",1,2022-02-24 11:01:34+00:00,CarloSommaruga,"((0, 160, 'FRENCH', 'fr'),)","[{'translation_text': 'With it we demand that beyond the declarations, the CF take measures in terms of finance and trading of Russian raw materials in Switzerland.'}]"
155,"Ukraine : Agression totale par la Russie contre un État indépendant! Poutine foule aux pieds non seulement le droit international public, le principe de souveraineté des États, mais aussi les valeurs de démocratie et des DroitsHumains. Il y a danger pour les démocraties!",17,2022-02-24 10:33:34+00:00,CarloSommaruga,"((0, 277, 'FRENCH', 'fr'),)","[{'translation_text': ""Ukraine: Russia's total aggression against an independent state! Putin is trampling not only on public international law, the principle of state sovereignty, but also on the values of democracy and human rights. There is a danger for democracies!""}]"
157,"Face aux violations du droit international il n’y a pas de neutralité possible. En rester au niveau des déclarations et ne pas agir par tous les moyens pacifiques pour obtenir son respect, c’est admettre la loi du plus fort !",1,2022-02-23 07:27:28+00:00,CarloSommaruga,"((0, 43, 'Unknown', 'un'), (43, 188, 'FRENCH', 'fr'))",NA
159,"Les révélations de SuisseSecrets montrent la nécessité d'agir de manière déterminée contre le blanchiment d'argent pour garantir une place financière suisse propre. Il est temps de renforcer les pouvoirs d'enquête et de sanction de la FINMA, notre régulateur financier.",15,2022-02-21 17:40:28+00:00,CarloSommaruga,"((0, 279, 'FRENCH', 'fr'),)","[{'translation_text': 'The revelations of SwitzerlandSecrets show the need to act decisively against money laundering in order to guarantee a Swiss financial centre of its own. It is time to strengthen the powers of investigation and sanction of FINMA, our financial regulator.'}]"
164,"Sauvegarde du patrimoine: remise en service du Rhône, magnifique bâtiment de la Belle époque. Moment important de la conservation du patrimoine lémanique rendu possible aussi par l’engagement du Canton de Geneve. La présence politique genevoise s’imposait.",4,2022-02-15 18:19:28+00:00,CarloSommaruga,"((0, 265, 'FRENCH', 'fr'),)","[{'translation_text': 'Preservation of the heritage: the Rhone, a magnificent building of the Belle époque. Important moment in the conservation of the Lemanic heritage made possible also by the commitment of the Canton of Geneva. The Geneva political presence was necessary.'}]"
165,"Le co-president du  « Il y a un ras-le-bol. Les loyers augmentent, les primes prennent l’ascenseur, les rentes sont sous pression et les salaires stagnent. Il est temps que la richesse de ce pays revienne à ses habitantes et habitants ».",2,2022-02-15 15:25:45+00:00,CarloSommaruga,"((0, 243, 'FRENCH', 'fr'),)","[{'translation_text': 'The co-president of the ""There is a ras-le-bol. Rent increases, premiums take the elevator, rents are under pressure and wages stagnate. It is time that the wealth of this country returned to its inhabitants"".'}]"
