Column1;question;smartvote_answers;binary_smarvote_answer;huggingface_answers;cami_answers;Topic;Keywords;Simplified question
24; Êtes-vous en faveur d'un contrôle plus strict de l'égalité des salaires entre hommes et femmes?;1;1;{'score': 0.018253719434142113, 'start': 1408, 'end': 1471, 'answer': 'equal pay parental leave support for better childcare for women'};1;society;"equal; salaries";"""Do you support stricter control of equal pay for men and women?''"
25; Seriez-vous favorable à ce qu'un médecin soit autorisé à administrer l'euthanasie active directe en Suisse?;1;1;{'score': 0.21306265890598297, 'start': 1953, 'end': 1965, 'answer': 'criminal law'};2;society;"doctor; euthanasia ";"""Should euthanasia be legal?"""
26;Selon vous la baisse des impôts au niveau fédéral représente-elle une priorité pour les quatre prochaines années?;4;0;{'score': 0.01087903045117855, 'start': 0, 'end': 63, 'answer': 'A fine illustration of the relationship of the richest to taxes'};2;finances;taxes;"""Should we lower taxes?"""
27; Êtes-vous en faveur d'une nouvelle réduction des contributions versées par les cantons financièrement forts aux cantons financièrement faibles dans le cadre de la péréquation financière?;3;0;{'score': 2.107626642100513e-06, 'start': 58, 'end': 63, 'answer': 'taxes'};2;finances;financial equalisation ;"""Should cantons support each other?"""
28; Les couples mariés devraient-ils être imposés en tant que personnes individuelles (imposition individuelle)?;1;1;{'score': 3.232849485357292e-05, 'start': 0, 'end': 63, 'answer': 'A fine illustration of the relationship of the richest to taxes'};2;finances;"individual taxation; married";"""Do you believe in individual taxation?"""
29; Êtes-vous en faveur d'une restriction de la concurrence entre les cantons en matière d'imposition des entreprises?;1;1;{'score': 1.5431111251018592e-06, 'start': 0, 'end': 63, 'answer': 'A fine illustration of the relationship of the richest to taxes'};2;finances;company taxation;"""Are you in favor of restricting competition between cantons in the area of corporate taxation?''"
30; Les ménages privés devraient-ils pouvoir choisir librement leur fournisseur d'électricité (libéralisation complète du marché de l'électricité)? ;4;0;"{'score': 0.11038383841514587, 'start': 362, 'end': 424, 'answer': ""we can strengthen the AVS without touching the workers' wallet""}";2;economy;electricity;"""Should we be a able to choose their electricity supplier?"""
31; Êtes-vous favorable à l'introduction d'un salaire minimum de 4000 CHF pour toutes les personnes salariées pour un poste à plein temps?;1;1;{'score': 0.029135003685951233, 'start': 3990, 'end': 3997, 'answer': 'Nothing'};2;economy;wage;"""Are you in favor of a minimum wage?"""
32; Les entreprises suisses devraient-elles être mieux être protégées du risque de rachat par des investisseurs étrangers en introduisant des contrôles sur les investissements? ;2;1;"{'score': 0.05744822695851326, 'start': 362, 'end': 424, 'answer': ""we can strengthen the AVS without touching the workers' wallet""}";2;economy;"FDI; investement controls; takeovers";"""Should we protect Swiss companies from foreign takeovers?"""
33; Seriez-vous favorable à une libéralisation complète des heures d'ouverture des magasins?;4;0;{'score': 0.014309031888842583, 'start': 3990, 'end': 3997, 'answer': 'Nothing'};2;economy;"opening hours; shops";"""Should stores choose their opening hours?"""
34; Faut-il renforcer la protection contre le licenciement des travailleuses et travailleurs plus âgé·e·s? ;1;1;{'score': 0.0431385338306427, 'start': 4542, 'end': 4591, 'answer': 'Mobilization against TISA and TTIP must intensify'};1;economy;"dismissal; workers";"""Should the protection against dismissal of older workers be strengthened? ''"
35;La Confédération devrait-elle davantage soutenir l'offre des services publics (p. ex. transports publics poste) dans les régions rurales?;1;1;{'score': 0.06623702496290207, 'start': 4595, 'end': 4638, 'answer': 'we do not want to lose our public services.'};1;economy;"public services; post office";"""Should we support public services in rural areas?"""
36; L'expansion du réseau mobile selon la norme 5G doit-elle se poursuivre? ;3;0;{'score': 2.529315246135866e-08, 'start': 554, 'end': 618, 'answer': 'Airbnb wants to negotiate tourist tax agreements with 700 cities'};2;digitalisation;5G;"""Should we expand our 5G network?"""
37;" Les plateformes de services en ligne (p. ex. hébergement ""Airbnb"" ou taxis ""Uber"") devraient-elles être réglementées plus strictement?";1;1;{'score': 1.9049364254897228e-06, 'start': 939, 'end': 966, 'answer': 'to protect the local market'};1;digitalisation;"Uber; Airbnb; online";"""Should we regulate online platforms?"""
38; Une initiative demande que la Suisse cesse d'utiliser les énergies fossiles à partir de 2050. Soutenez-vous cette proposition?;1;1;{'score': 0.016227729618549347, 'start': 2560, 'end': 2598, 'answer': 'nuclear weapons have never been banned'};2;energy;"fossil; 2050; fuel";"""Do you want to stop using fossil fuels?''"
39;Actuellement une taxe CO2 est prélevée sur les combustibles fossiles (p. ex. mazout ou gaz naturel). Cette taxe devrait-elle également être étendue aux carburants (p. ex. essence diesel etc.)?;1;1;{'score': 0.038238413631916046, 'start': 2560, 'end': 2598, 'answer': 'nuclear weapons have never been banned'};2;energy;"C02; natural gas";"""Should fuel be taxed?"""
40; La Confédération devrait-elle soutenir davantage les énergies renouvelables?;1;1;{'score': 0.07334325462579727, 'start': 3271, 'end': 3306, 'answer': 'largely accepts the energy strategy'};1;energy;"renewable; energy";"""Should we support renewable energies?"""
41; Les tronçons autoroutiers à forte fréquentation devraient-ils être étendus à six voies?;4;0;{'score': 0.041654009371995926, 'start': 2880, 'end': 2893, 'answer': 'cycling lanes'};2;energy;"motorway; lanes";"""Should high-traffic highway sections be extended to six lanes?''"
42;" Êtes-vous favorable à l'introduction de péages routiers (""Road pricing"") pour le transport individuel motorisé sur les routes très fréquentées?";4;0;{'score': 0.0333852618932724, 'start': 645, 'end': 676, 'answer': 'not the new cantonal energy law'};2;energy;road pricing;"""Do you support the introduction of road pricing on busy roads?"""
43;Êtes-vous favorable à un assouplissement des mesures actuelles de protection des grands prédateurs (lynx loup ours)?;4;0;{'score': 6.803750807193865e-07, 'start': 0, 'end': 24, 'answer': 'Rejection of the CO2 law'};2;ecology;"predators; lynx; wolf; bears";"""'Are you in favor of relaxing the current protection measures for large predators?''"
44; Le moratoire actuel sur les plantes et les animaux génétiquement modifiés devrait-il être prolongé au-delà de 2021?;1;1;{'score': 1.3808288485961384e-06, 'start': 1491, 'end': 1531, 'answer': 'relaunch a social and ecological project'};2;ecology;"plants; genetically modified ";'Should the current moratorium on genetically modified plants and animals be extended?''
45;Les paiements directs devraient-ils être accordés qu'aux exploitations agricoles qui fournissent un bilan écologique étendu (p. ex. renoncement à l'utilisation des pesticides de synthèse et limitation de l'utilisation d'antibiotiques)?;1;1;{'score': 7.0325640990631655e-06, 'start': 1356, 'end': 1369, 'answer': 'indispensable'};1;ecology;"ecological; farms; pesticides";"'Should direct payments only be granted to farms that provide an ecological balance sheet ?"""
46; Faut-il étendre les mesures de protection de la biodiversité (p. ex. des règles plus strictes pour la construction en dehors des zones à bâtir existantes)?;1;1;{'score': 9.334892638435122e-06, 'start': 182, 'end': 251, 'answer': 'It is now necessary to include in the law a protection of the tenants'};2;ecology;biodiversity;"""Should biodiversity protection measures be extended?"""
47;Êtes-vous en faveur de réglementations plus strictes de la protection des animaux pour la détention d'animaux de rente (p. ex. l'accès permanent aux espaces extérieurs)?;1;1;{'score': 1.66227653153328e-06, 'start': 0, 'end': 24, 'answer': 'Rejection of the CO2 law'};2;ecology;"animal protection; livestock";"""Do you support stricter animal protection regulations for keeping livestock?"" "
48; Le financement des partis ainsi que celui des campagnes pour les élections et les votations devrait-il être transparent? ;1;1;{'score': 0.12646989524364471, 'start': 3983, 'end': 4028, 'answer': 'Get transparency through a public health fund'};2;politics;"campaign funding; transparency;";""" Should campaign financing be transparent? ''"
49; L'introduction du vote électronique lors des votations et des élections (E-Voting) devrait-elle être poursuivie?;1;1;{'score': 0.28753626346588135, 'start': 1709, 'end': 1711, 'answer': 'No'};2;politics;"e-voting; votes";"""Do you support e-voting?"""
50; Êtes-vous en faveur de l'abaissement de l'âge de vote à 16 ans?;3;0;{'score': 0.06927928328514099, 'start': 1709, 'end': 1720, 'answer': 'No e-voting'};2;politics;"voting age; 16";"""Should voting at 16 be allowed"""
51; La Suisse devrait-elle mettre fin à l'accord de Schengen avec l'UE et réintroduire davantage de contrôles directement aux frontières?;4;0;{'score': 0.054492685943841934, 'start': 7761, 'end': 7825, 'answer': 'the Federal Council wishes to put an end to civil service abroad'};2;security;"border control; schengen";"""Should Switzerland end Shengen?"""
52; Faut-il renoncer au durcissement des conditions d'admission au service civil proposé par le Conseil fédéral?;1;1;{'score': 0.13047555088996887, 'start': 11561, 'end': 11623, 'answer': 'The relaxation of the ordinance on war material is intolerable'};2;security;civil service;"'Should the Federal Council's proposed tightening of the conditions for admission to civilian service be abandoned?"""
53; Faut-il interdire l'exportation de matériel de guerre produit en Suisse? ;1;1;{'score': 0.14910510182380676, 'start': 2228, 'end': 2237, 'answer': 'no export'};1;security;"war material; weapons";"""Should we ban export war material?"""
54; Êtes-vous favorable à l'acquisition de nouveaux avions de combat pour l'armée suisse? ;4;0;{'score': 0.1080801784992218, 'start': 9396, 'end': 9455, 'answer': 'people should decide on the purchase of new combat aircraft'};2;security;"aircraft; swiss army";"""Are you in favor of acquiring new fighter aircraft ? ''"
55;Selon vous les moyens légaux permettant de recourir à lanalyse ADN lors denquêtes devraient-ils être étendus?;2;1;{'score': 0.16791921854019165, 'start': 4415, 'end': 4452, 'answer': 'Parliament should have done much more'};1;security;dann;"""Should we do more DNA analysis?"""
56; La Suisse doit-elle entamer des négociations d'adhésion à l'Union européenne? ;4;0;{'score': 0.23250329494476318, 'start': 6398, 'end': 6433, 'answer': 'the entry in the matter is accepted'};1;external_relations;EU negotiations;"""Should Switzerland enter the European Union?"""
57; La Suisse devrait-elle conclure un accord de libre-échange avec les Etats-Unis? ;1;1;{'score': 0.12097902595996857, 'start': 13628, 'end': 13637, 'answer': 'Rejection'};0;external_relations;"trade; USA ";"""Should Switzerlad have a free trade agreement with the USA?"""
58; Une initiative demande que les règles de responsabilité des entreprises suisses en matière de respect des droits humains et des normes environnementales à l'étranger soient renforcées. Soutenez-vous cette proposition? ;1;1;"{'score': 0.1311933994293213, 'start': 1922, 'end': 1955, 'answer': 'human rights remain a ""secondary""'}";2;external_relations;"human rights; environment";"""Should Swiss companies have human rights and environmental standards?"""
59; Êtes-vous en faveur de la candidature de la Suisse à un siège au Conseil de sécurité de l'ONU?;1;1;{'score': 0.02816496416926384, 'start': 18347, 'end': 18374, 'answer': 'Unilateral safeguard clause'};2;external_relations;security council;"""Should Switzerland have a seat in the UN Security council?"""
