question;smartvote_answers;binary_smarvote_answer;huggingface_answers;cami_answers;Topic;Keywords;Simplified question
''4. Êtes-vous en faveur d'un durcissement supplémentaire du droit à l'asile?'';4;;;;immigration;asylum;''Are you in favor of asylum?''
''5. Les conditions de naturalisation devraient-elles être revues à la hausse?'';4;;;;immigration;naturalisation;''Should the conditions for naturaliation be increased?''
''6. La Confédération devrait-elle soutenir davantage les étrangères et étrangers dans leur intégration?'';1;;;;immigration;integration;"""Should we support foreigner integration?"""
''1. La consommation de cannabis devrait-elle être légalisée? '';1;;;;society;cannabis;"""Should cannabis be legal?"""
''2. Les couples de même sexe devraient-ils avoir les mêmes droits dans tous les domaines que les couples hétérosexuels?'';1;;;;society;"homosexual; gay";"""Do we believe in homosexuality equality?"""
'3. La réglementation de la procréation médicalement assistée devrait-elle être assouplie?'';1;;;;society;reproducation;' Should the regulation of assisted reproduction be relaxed?''
''4. Êtes-vous en faveur d'un contrôle plus strict de l'égalité des salaires entre hommes et femmes?'';1;;;;society;"equal; salaries";"""Do you support stricter control of equal pay for men and women?''"
''5. Seriez-vous favorable à ce qu'un médecin soit autorisé à administrer l'euthanasie active directe en Suisse?'';1;;;;society;"doctor; euthanasia ";"""Should euthanasia be legal?"""
'1. Selon vous la baisse des impôts au niveau fédéral représente-elle une priorité pour les quatre prochaines années?'';4;;;;finances;taxes;"""Should we lower taxes?"""
''2. Êtes-vous en faveur d'une nouvelle réduction des contributions versées par les cantons financièrement forts aux cantons financièrement faibles dans le cadre de la péréquation financière?'';3;;;;finances;financial equalisation ;"""Should cantons support each other?"""
''3. Les couples mariés devraient-ils être imposés en tant que personnes individuelles (imposition individuelle)?'';1;;;;finances;"individual taxation; married";"""Do you believe in individual taxation?"""
''4. Êtes-vous en faveur d'une restriction de la concurrence entre les cantons en matière d'imposition des entreprises?'';1;;;;finances;company taxation;"""Are you in favor of restricting competition between cantons in the area of corporate taxation?''"
''1. Les ménages privés devraient-ils pouvoir choisir librement leur fournisseur d'électricité (libéralisation complète du marché de l'électricité)? '';4;;;;economy;electricity;"""Should we be a able to choose their electricity supplier?"""
''2. Êtes-vous favorable à l'introduction d'un salaire minimum de 4’000 CHF pour toutes les personnes salariées pour un poste à plein temps?'';1;;;;economy;wage;"""Are you in favor of a minimum wage?"""
''3. Les entreprises suisses devraient-elles être mieux être protégées du risque de rachat par des investisseurs étrangers en introduisant des contrôles sur les investissements? '';2;;;;economy;"FDI; investement controls; takeovers";"""Should we protect Swiss companies from foreign takeovers?"""
''4. Seriez-vous favorable à une libéralisation complète des heures d'ouverture des magasins?'';4;;;;economy;"opening hours; shops";"""Should stores choose their opening hours?"""
''5. Faut-il renforcer la protection contre le licenciement des travailleuses et travailleurs plus âgé·e·s? '';1;;;;economy;"dismissal; workers";"""Should the protection against dismissal of older workers be strengthened? ''"
'6. La Confédération devrait-elle davantage soutenir l'offre des services publics (p. ex. transports publics poste) dans les régions rurales?'';1;;;;economy;"public services; post office";"""Should we support public services in rural areas?"""
''1. L'expansion du réseau mobile selon la norme 5G doit-elle se poursuivre? '';3;;;;digitalisation;5G;"""Should we expand our 5G network?"""
"''2. Les plateformes de services en ligne (p. ex. hébergement ""Airbnb"" ou taxis ""Uber"") devraient-elles être réglementées plus strictement?''";1;;;;digitalisation;"Uber; Airbnb; online";"""Should we regulate online platforms?"""
''1. Une initiative demande que la Suisse cesse d'utiliser les énergies fossiles à partir de 2050. Soutenez-vous cette proposition?'';1;;;;energy;"fossil; 2050; fuel";"""Do you want to stop using fossil fuels?''"
'2. Actuellement une taxe CO2 est prélevée sur les combustibles fossiles (p. ex. mazout ou gaz naturel). Cette taxe devrait-elle également être étendue aux carburants (p. ex. essence diesel etc.)?'';1;;;;energy;"C02; natural gas";"""Should fuel be taxed?"""
''3. La Confédération devrait-elle soutenir davantage les énergies renouvelables?'';1;;;;energy;"renewable; energy";"""Should we support renewable energies?"""
''4. Les tronçons autoroutiers à forte fréquentation devraient-ils être étendus à six voies?'';4;;;;energy;"motorway; lanes";"""Should high-traffic highway sections be extended to six lanes?''"
"''5. Êtes-vous favorable à l'introduction de péages routiers (""Road pricing"") pour le transport individuel motorisé sur les routes très fréquentées?''";4;;;;energy;road pricing;"""Do you support the introduction of road pricing on busy roads?"""
'1. Êtes-vous favorable à un assouplissement des mesures actuelles de protection des grands prédateurs (lynx loup ours)?'';4;;;;ecology;"predators; lynx; wolf; bears";"""'Are you in favor of relaxing the current protection measures for large predators?''"
''2. Le moratoire actuel sur les plantes et les animaux génétiquement modifiés devrait-il être prolongé au-delà de 2021?'';1;;;;ecology;"plants; genetically modified ";'Should the current moratorium on genetically modified plants and animals be extended?''
'3. Les paiements directs devraient-ils être accordés qu'aux exploitations agricoles qui fournissent un bilan écologique étendu (p. ex. renoncement à l'utilisation des pesticides de synthèse et limitation de l'utilisation d'antibiotiques)?'';1;;;;ecology;"ecological; farms; pesticides";"'Should direct payments only be granted to farms that provide an ecological balance sheet ?"""
''4. Faut-il étendre les mesures de protection de la biodiversité (p. ex. des règles plus strictes pour la construction en dehors des zones à bâtir existantes)?'';1;;;;ecology;biodiversity;"""Should biodiversity protection measures be extended?"""
'5. Êtes-vous en faveur de réglementations plus strictes de la protection des animaux pour la détention d'animaux de rente (p. ex. l'accès permanent aux espaces extérieurs)?'';1;;;;ecology;"animal protection; livestock";"""Do you support stricter animal protection regulations for keeping livestock?"" "
''1. Le financement des partis ainsi que celui des campagnes pour les élections et les votations devrait-il être transparent? '';1;;;;politics;"campaign funding; transparency;";""" Should campaign financing be transparent? ''"
''2. L'introduction du vote électronique lors des votations et des élections (E-Voting) devrait-elle être poursuivie?'';1;;;;politics;"e-voting; votes";"""Do you support e-voting?"""
''3. Êtes-vous en faveur de l'abaissement de l'âge de vote à 16 ans?'';3;;;;politics;"voting age; 16";"""Should voting at 16 be allowed"""
''1. La Suisse devrait-elle mettre fin à l'accord de Schengen avec l'UE et réintroduire davantage de contrôles directement aux frontières?'';4;;;;security;"border control; schengen";"""Should Switzerland end Shengen?"""
''2. Faut-il renoncer au durcissement des conditions d'admission au service civil proposé par le Conseil fédéral?'';1;;;;security;civil service;"'Should the Federal Council's proposed tightening of the conditions for admission to civilian service be abandoned?"""
''3. Faut-il interdire l'exportation de matériel de guerre produit en Suisse? '';1;;;;security;"war material; weapons";"""Should we export war material?"""
''4. Êtes-vous favorable à l'acquisition de nouveaux avions de combat pour l'armée suisse? '';4;;;;security;"aircraft; swiss army";"""Are you in favor of acquiring new fighter aircraft ? ''"
'5. Selon vous les moyens légaux permettant de recourir à l’analyse ADN lors d’enquêtes devraient-ils être étendus?'';2;;;;security;dann;"""Should we do more DNA analysis?"""
''1. La Suisse doit-elle entamer des négociations d'adhésion à l'Union européenne? '';4;;;;external_relations;EU negotiations;"""Should Switzerland enter the European Union?"""
''2. La Suisse devrait-elle conclure un accord de libre-échange avec les Etats-Unis? '';1;;;;external_relations;"trade; USA ";"""Should Switzerlad have a free trade agreement with the USA?"""
''3. Une initiative demande que les règles de responsabilité des entreprises suisses en matière de respect des droits humains et des normes environnementales à l'étranger soient renforcées. Soutenez-vous cette proposition? '';1;;;;external_relations;"human rights; environment";"""Should Swiss companies have human rights and environmental standards?"""
''4. Êtes-vous en faveur de la candidature de la Suisse à un siège au Conseil de sécurité de l'ONU?'';1;;;;external_relations;security council;"""Should Switzerland have a seat in the UN Security council?"""
