"2. Les plateformes de services en ligne (p. ex. hébergement ""Airbnb"" ou taxis ""Uber"") devraient-elles être réglementées plus strictement?";1
1. Une initiative demande que la Suisse cesse d'utiliser les énergies fossiles à partir de 2050. Soutenez-vous cette proposition?;1
2. Actuellement, une taxe CO2 est prélevée sur les combustibles fossiles (p. ex. mazout ou gaz naturel). Cette taxe devrait-elle également être étendue aux carburants (p. ex. essence, diesel, etc.)?;1
3. La Confédération devrait-elle soutenir davantage les énergies renouvelables?;1
4. Les tronçons autoroutiers à forte fréquentation devraient-ils être étendus à six voies?;4
"5. Êtes-vous favorable à l'introduction de péages routiers (""Road pricing"") pour le transport individuel motorisé sur les routes très fréquentées?";4
1. Êtes-vous favorable à un assouplissement des mesures actuelles de protection des grands prédateurs (lynx, loup, ours)?;4
2. Le moratoire actuel sur les plantes et les animaux génétiquement modifiés devrait-il être prolongé au-delà de 2021?;1
3. Les paiements directs devraient-ils être accordés qu'aux exploitations agricoles qui fournissent un bilan écologique étendu (p. ex. renoncement à l'utilisation des pesticides de synthèse et limitation de l'utilisation d'antibiotiques)?;1
4. Faut-il étendre les mesures de protection de la biodiversité (p. ex. des règles plus strictes pour la construction en dehors des zones à bâtir existantes)?;1
5. Êtes-vous en faveur de réglementations plus strictes de la protection des animaux pour la détention d'animaux de rente (p. ex. l'accès permanent aux espaces extérieurs)?;1
1. Le financement des partis ainsi que celui des campagnes pour les élections et les votations devrait-il être transparent? ;1
2. L'introduction du vote électronique lors des votations et des élections (E-Voting) devrait-elle être poursuivie?;1
3. Êtes-vous en faveur de l'abaissement de l'âge de vote à 16 ans?;3
1. La Suisse devrait-elle mettre fin à l'accord de Schengen avec l'UE et réintroduire davantage de contrôles directement aux frontières?;4
2. Faut-il renoncer au durcissement des conditions d'admission au service civil proposé par le Conseil fédéral?;1
3. Faut-il interdire l'exportation de matériel de guerre produit en Suisse? ;1
4. Êtes-vous favorable à l'acquisition de nouveaux avions de combat pour l'armée suisse? ;4
5. Selon vous, les moyens légaux permettant de recourir à l’analyse ADN lors d’enquêtes devraient-ils être étendus?;2
1. La Suisse doit-elle entamer des négociations d'adhésion à l'Union européenne? ;4
2. La Suisse devrait-elle conclure un accord de libre-échange avec les Etats-Unis? ;1
3. Une initiative demande que les règles de responsabilité des entreprises suisses en matière de respect des droits humains et des normes environnementales à l'étranger soient renforcées. Soutenez-vous cette proposition? ;1
4. Êtes-vous en faveur de la candidature de la Suisse à un siège au Conseil de sécurité de l'ONU?;1
