,question,smartvote_answers,binary_smarvote_answer,huggingface_answers,cami_answers,Topic,Keywords,Simplified question
16, La limitation de l'immigration a-t-elle pour vous la priorité sur le maintien des accords bilatéraux avec l'UE?,4,0.0,"{'score': 0.059647656977176666, 'start': 14421, 'end': 14446, 'answer': 'they want to limit access'}",,immigration,bilateral; EU; immigration,''Should we limit immigration from EU?''
17, Les personnes sans-papiers devraient-elles pouvoir obtenir plus facilement un statut de séjour régularisé?,1,1.0,"{'score': 0.1246962919831276, 'start': 17199, 'end': 17236, 'answer': 'reinstate the anti-immigration decree'}",,immigration,undocumented; residence; migrants,''Should undocumented migrants receive a status?''
18, Êtes-vous en faveur d'un durcissement supplémentaire du droit à l'asile?,4,0.0,"{'score': 0.07343760132789612, 'start': 21431, 'end': 21494, 'answer': 'The EU would be in favourA long night of Cristal attacks Europe'}",,immigration,asylum,''Are you in favor of asylum?''
19, Les conditions de naturalisation devraient-elles être revues à la hausse?,4,0.0,"{'score': 0.177056223154068, 'start': 17199, 'end': 17236, 'answer': 'reinstate the anti-immigration decree'}",,immigration,naturalisation,''Should the conditions for naturaliation be increased?''
20, La Confédération devrait-elle soutenir davantage les étrangères et étrangers dans leur intégration?,1,1.0,"{'score': 0.12963975965976715, 'start': 12737, 'end': 12814, 'answer': 'it would be necessary to eliminate discrimination against them by consistency'}",,immigration,integration,"""Should we support foreigner integration?"""
21, La consommation de cannabis devrait-elle être légalisée? ,1,1.0,"{'score': 0.27285242080688477, 'start': 1953, 'end': 1965, 'answer': 'criminal law'}",,society,cannabis,"""Should cannabis be legal?"""
22, Les couples de même sexe devraient-ils avoir les mêmes droits dans tous les domaines que les couples hétérosexuels?,1,1.0,"{'score': 0.11909818649291992, 'start': 2156, 'end': 2199, 'answer': 'Switzerland is doing less well than Hungary'}",,society,homosexual; gay,"""Do we believe in homosexuality equality?"""
23,La réglementation de la procréation médicalement assistée devrait-elle être assouplie?,1,1.0,"{'score': 0.038517821580171585, 'start': 1932, 'end': 1965, 'answer': 'His proposal becomes criminal law'}",,society,reproducation,' Should the regulation of assisted reproduction be relaxed?''
24, Êtes-vous en faveur d'un contrôle plus strict de l'égalité des salaires entre hommes et femmes?,1,1.0,"{'score': 0.018253689631819725, 'start': 1408, 'end': 1471, 'answer': 'equal pay parental leave support for better childcare for women'}",,society,equal; salaries,"""Do you support stricter control of equal pay for men and women?''"
25, Seriez-vous favorable à ce qu'un médecin soit autorisé à administrer l'euthanasie active directe en Suisse?,1,1.0,"{'score': 0.21306270360946655, 'start': 1953, 'end': 1965, 'answer': 'criminal law'}",,society,doctor; euthanasia ,"""Should euthanasia be legal?"""
26,Selon vous la baisse des impôts au niveau fédéral représente-elle une priorité pour les quatre prochaines années?,4,0.0,"{'score': 0.010879185050725937, 'start': 0, 'end': 63, 'answer': 'A fine illustration of the relationship of the richest to taxes'}",,finances,taxes,"""Should we lower taxes?"""
27, Êtes-vous en faveur d'une nouvelle réduction des contributions versées par les cantons financièrement forts aux cantons financièrement faibles dans le cadre de la péréquation financière?,3,0.0,"{'score': 2.1076211851323023e-06, 'start': 58, 'end': 63, 'answer': 'taxes'}",,finances,financial equalisation ,"""Should cantons support each other?"""
28, Les couples mariés devraient-ils être imposés en tant que personnes individuelles (imposition individuelle)?,1,1.0,"{'score': 3.232877133996226e-05, 'start': 0, 'end': 63, 'answer': 'A fine illustration of the relationship of the richest to taxes'}",,finances,individual taxation; married,"""Do you believe in individual taxation?"""
29, Êtes-vous en faveur d'une restriction de la concurrence entre les cantons en matière d'imposition des entreprises?,1,1.0,"{'score': 1.5430999837917625e-06, 'start': 0, 'end': 63, 'answer': 'A fine illustration of the relationship of the richest to taxes'}",,finances,company taxation,"""Are you in favor of restricting competition between cantons in the area of corporate taxation?''"
30, Les ménages privés devraient-ils pouvoir choisir librement leur fournisseur d'électricité (libéralisation complète du marché de l'électricité)? ,4,0.0,"{'score': 0.04454831779003143, 'start': 453, 'end': 515, 'answer': ""we can strengthen the AVS without touching the workers' wallet""}",,economy,electricity,"""Should we be a able to choose their electricity supplier?"""
31, Êtes-vous favorable à l'introduction d'un salaire minimum de 4000 CHF pour toutes les personnes salariées pour un poste à plein temps?,1,1.0,"{'score': 0.021361270919442177, 'start': 4081, 'end': 4088, 'answer': 'Nothing'}",,economy,wage,"""Are you in favor of a minimum wage?"""
32, Les entreprises suisses devraient-elles être mieux être protégées du risque de rachat par des investisseurs étrangers en introduisant des contrôles sur les investissements? ,2,1.0,"{'score': 0.042338937520980835, 'start': 453, 'end': 515, 'answer': ""we can strengthen the AVS without touching the workers' wallet""}",,economy,FDI; investement controls; takeovers,"""Should we protect Swiss companies from foreign takeovers?"""
33, Seriez-vous favorable à une libéralisation complète des heures d'ouverture des magasins?,4,0.0,"{'score': 0.03593891113996506, 'start': 453, 'end': 515, 'answer': ""we can strengthen the AVS without touching the workers' wallet""}",,economy,opening hours; shops,"""Should stores choose their opening hours?"""
34, Faut-il renforcer la protection contre le licenciement des travailleuses et travailleurs plus âgé·e·s? ,1,1.0,"{'score': 0.06813615560531616, 'start': 4633, 'end': 4682, 'answer': 'Mobilization against TISA and TTIP must intensify'}",,economy,dismissal; workers,"""Should the protection against dismissal of older workers be strengthened? ''"
35,La Confédération devrait-elle davantage soutenir l'offre des services publics (p. ex. transports publics poste) dans les régions rurales?,1,1.0,"{'score': 0.04347078874707222, 'start': 4686, 'end': 4729, 'answer': 'we do not want to lose our public services.'}",,economy,public services; post office,"""Should we support public services in rural areas?"""
36, L'expansion du réseau mobile selon la norme 5G doit-elle se poursuivre? ,3,0.0,"{'score': 2.5293154237715498e-08, 'start': 554, 'end': 618, 'answer': 'Airbnb wants to negotiate tourist tax agreements with 700 cities'}",,digitalisation,5G,"""Should we expand our 5G network?"""
37," Les plateformes de services en ligne (p. ex. hébergement ""Airbnb"" ou taxis ""Uber"") devraient-elles être réglementées plus strictement?",1,1.0,"{'score': 1.9049417687710957e-06, 'start': 939, 'end': 966, 'answer': 'to protect the local market'}",,digitalisation,Uber; Airbnb; online,"""Should we regulate online platforms?"""
38, Une initiative demande que la Suisse cesse d'utiliser les énergies fossiles à partir de 2050. Soutenez-vous cette proposition?,1,1.0,"{'score': 0.05226941779255867, 'start': 2731, 'end': 2769, 'answer': 'nuclear weapons have never been banned'}",,energy,fossil; 2050; fuel,"""Do you want to stop using fossil fuels?''"
39,Actuellement une taxe CO2 est prélevée sur les combustibles fossiles (p. ex. mazout ou gaz naturel). Cette taxe devrait-elle également être étendue aux carburants (p. ex. essence diesel etc.)?,1,1.0,"{'score': 0.12831808626651764, 'start': 2731, 'end': 2769, 'answer': 'nuclear weapons have never been banned'}",,energy,C02; natural gas,"""Should fuel be taxed?"""
40, La Confédération devrait-elle soutenir davantage les énergies renouvelables?,1,1.0,"{'score': 0.049917250871658325, 'start': 791, 'end': 847, 'answer': 'do we have to support or not the new cantonal energy law'}",,energy,renewable; energy,"""Should we support renewable energies?"""
41, Les tronçons autoroutiers à forte fréquentation devraient-ils être étendus à six voies?,4,0.0,"{'score': 0.04797061160206795, 'start': 3051, 'end': 3064, 'answer': 'cycling lanes'}",,energy,motorway; lanes,"""Should high-traffic highway sections be extended to six lanes?''"
42," Êtes-vous favorable à l'introduction de péages routiers (""Road pricing"") pour le transport individuel motorisé sur les routes très fréquentées?",4,0.0,"{'score': 0.02826160192489624, 'start': 805, 'end': 847, 'answer': 'support or not the new cantonal energy law'}",,energy,road pricing,"""Do you support the introduction of road pricing on busy roads?"""
43,Êtes-vous favorable à un assouplissement des mesures actuelles de protection des grands prédateurs (lynx loup ours)?,4,0.0,"{'score': 6.803757059969939e-07, 'start': 0, 'end': 24, 'answer': 'Rejection of the CO2 law'}",,ecology,predators; lynx; wolf; bears,"""'Are you in favor of relaxing the current protection measures for large predators?''"
44, Le moratoire actuel sur les plantes et les animaux génétiquement modifiés devrait-il être prolongé au-delà de 2021?,1,1.0,"{'score': 1.3808304402118665e-06, 'start': 1491, 'end': 1531, 'answer': 'relaunch a social and ecological project'}",,ecology,plants; genetically modified ,'Should the current moratorium on genetically modified plants and animals be extended?''
45,Les paiements directs devraient-ils être accordés qu'aux exploitations agricoles qui fournissent un bilan écologique étendu (p. ex. renoncement à l'utilisation des pesticides de synthèse et limitation de l'utilisation d'antibiotiques)?,1,1.0,"{'score': 7.032570010778727e-06, 'start': 1356, 'end': 1369, 'answer': 'indispensable'}",,ecology,ecological; farms; pesticides,"'Should direct payments only be granted to farms that provide an ecological balance sheet ?"""
46, Faut-il étendre les mesures de protection de la biodiversité (p. ex. des règles plus strictes pour la construction en dehors des zones à bâtir existantes)?,1,1.0,"{'score': 9.33496357902186e-06, 'start': 182, 'end': 251, 'answer': 'It is now necessary to include in the law a protection of the tenants'}",,ecology,biodiversity,"""Should biodiversity protection measures be extended?"""
47,Êtes-vous en faveur de réglementations plus strictes de la protection des animaux pour la détention d'animaux de rente (p. ex. l'accès permanent aux espaces extérieurs)?,1,1.0,"{'score': 1.6622709608782316e-06, 'start': 0, 'end': 24, 'answer': 'Rejection of the CO2 law'}",,ecology,animal protection; livestock,"""Do you support stricter animal protection regulations for keeping livestock?"" "
48, Le financement des partis ainsi que celui des campagnes pour les élections et les votations devrait-il être transparent? ,1,1.0,"{'score': 0.1264699250459671, 'start': 3983, 'end': 4028, 'answer': 'Get transparency through a public health fund'}",,politics,campaign funding; transparency;,""" Should campaign financing be transparent? ''"
49, L'introduction du vote électronique lors des votations et des élections (E-Voting) devrait-elle être poursuivie?,1,1.0,"{'score': 0.28753671050071716, 'start': 1709, 'end': 1711, 'answer': 'No'}",,politics,e-voting; votes,"""Do you support e-voting?"""
50, Êtes-vous en faveur de l'abaissement de l'âge de vote à 16 ans?,3,0.0,"{'score': 0.06927921622991562, 'start': 1709, 'end': 1720, 'answer': 'No e-voting'}",,politics,voting age; 16,"""Should voting at 16 be allowed"""
51, La Suisse devrait-elle mettre fin à l'accord de Schengen avec l'UE et réintroduire davantage de contrôles directement aux frontières?,4,0.0,"{'score': 0.05449260398745537, 'start': 7761, 'end': 7825, 'answer': 'the Federal Council wishes to put an end to civil service abroad'}",,security,border control; schengen,"""Should Switzerland end Shengen?"""
52, Faut-il renoncer au durcissement des conditions d'admission au service civil proposé par le Conseil fédéral?,1,1.0,"{'score': 0.13047561049461365, 'start': 11561, 'end': 11623, 'answer': 'The relaxation of the ordinance on war material is intolerable'}",,security,civil service,"'Should the Federal Council's proposed tightening of the conditions for admission to civilian service be abandoned?"""
53, Faut-il interdire l'exportation de matériel de guerre produit en Suisse? ,1,1.0,"{'score': 0.1491049826145172, 'start': 2228, 'end': 2237, 'answer': 'no export'}",,security,war material; weapons,"""Should we export war material?"""
54, Êtes-vous favorable à l'acquisition de nouveaux avions de combat pour l'armée suisse? ,4,0.0,"{'score': 0.10808020830154419, 'start': 9396, 'end': 9455, 'answer': 'people should decide on the purchase of new combat aircraft'}",,security,aircraft; swiss army,"""Are you in favor of acquiring new fighter aircraft ? ''"
55,Selon vous les moyens légaux permettant de recourir à lanalyse ADN lors denquêtes devraient-ils être étendus?,2,1.0,"{'score': 0.16791902482509613, 'start': 4415, 'end': 4452, 'answer': 'Parliament should have done much more'}",,security,dann,"""Should we do more DNA analysis?"""
56, La Suisse doit-elle entamer des négociations d'adhésion à l'Union européenne? ,4,0.0,"{'score': 0.1076541617512703, 'start': 6554, 'end': 6589, 'answer': 'the entry in the matter is accepted'}",,external_relations,EU negotiations,"""Should Switzerland enter the European Union?"""
57, La Suisse devrait-elle conclure un accord de libre-échange avec les Etats-Unis? ,1,1.0,"{'score': 0.19339366257190704, 'start': 2830, 'end': 2848, 'answer': 'not in Switzerland'}",,external_relations,trade; USA ,"""Should Switzerlad have a free trade agreement with the USA?"""
58, Une initiative demande que les règles de responsabilité des entreprises suisses en matière de respect des droits humains et des normes environnementales à l'étranger soient renforcées. Soutenez-vous cette proposition? ,1,1.0,"{'score': 0.434073269367218, 'start': 10884, 'end': 10885, 'answer': '.'}",,external_relations,human rights; environment,"""Should Swiss companies have human rights and environmental standards?"""
59, Êtes-vous en faveur de la candidature de la Suisse à un siège au Conseil de sécurité de l'ONU?,1,1.0,"{'score': 0.03712014481425285, 'start': 6554, 'end': 6589, 'answer': 'the entry in the matter is accepted'}",,external_relations,security council,"""Should Switzerland have a seat in the UN Security council?"""
