Column1;question;smartvote_answers;binary_smarvote_answer;huggingface_answers;cami_answers;Topic;Keywords;Simplified question
17; Les personnes sans-papiers devraient-elles pouvoir obtenir plus facilement un statut de séjour régularisé?;1;1;{'score': 0.14351901412010193, 'start': 45267, 'end': 45309, 'answer': 'denying the status of Palestinian refugees'};2;Immigration;"undocumented; residence; migrants";''Should undocumented migrants receive a status?''
18; Êtes-vous en faveur d'un durcissement supplémentaire du droit à l'asile?;4;0;{'score': 0.21479664742946625, 'start': 115717, 'end': 115755, 'answer': 'parliamentary committees are in favour'};2;Immigration;asylum;''Are you in favor of asylum?''
19; Les conditions de naturalisation devraient-elles être revues à la hausse?;4;0;{'score': 0.43772631883621216, 'start': 9265, 'end': 9279, 'answer': 'Rent increases'};2;Immigration;naturalisation;''Should the conditions for naturaliation be increased?''
20; La Confédération devrait-elle soutenir davantage les étrangères et étrangers dans leur intégration?;1;1;{'score': 0.2842503786087036, 'start': 105122, 'end': 105123, 'answer': '.'};2;Immigration;integration;"""Should we support foreigner integration?"""
21; La consommation de cannabis devrait-elle être légalisée? ;1;1;{'score': 0.38244909048080444, 'start': 146749, 'end': 146773, 'answer': 'It is legally impossible'};0;Society;cannabis;"""Should cannabis be legal?"""
22; Les couples de même sexe devraient-ils avoir les mêmes droits dans tous les domaines que les couples hétérosexuels?;1;1;{'score': 0.38059595227241516, 'start': 121399, 'end': 121427, 'answer': 'equal rights for homosexuals'};1;Society;"homosexual; gay";"""Do we believe in homosexuality equality?"""
23;La réglementation de la procréation médicalement assistée devrait-elle être assouplie?;1;1;{'score': 0.26734280586242676, 'start': 173491, 'end': 173542, 'answer': 'Switzerland should suspend its cooperation projects'};2;Society;reproducation;' Should the regulation of assisted reproduction be relaxed?''
24; Êtes-vous en faveur d'un contrôle plus strict de l'égalité des salaires entre hommes et femmes?;1;1;{'score': 0.1492825597524643, 'start': 107984, 'end': 107985, 'answer': '.'};2;Society;"equal; salaries";"""Do you support stricter control of equal pay for men and women?''"
25; Seriez-vous favorable à ce qu'un médecin soit autorisé à administrer l'euthanasie active directe en Suisse?;1;1;{'score': 0.4640706181526184, 'start': 9779, 'end': 9780, 'answer': '.'};2;Society;"doctor; euthanasia ";"""Should euthanasia be legal?"""
26;Selon vous la baisse des impôts au niveau fédéral représente-elle une priorité pour les quatre prochaines années?;4;0;{'score': 0.24662362039089203, 'start': 180995, 'end': 181072, 'answer': 'Swiss refuse a tax system that favours multinationals and mortgages taxpayers'};2;Finances;taxes;"""Should we lower taxes?"""
27; Êtes-vous en faveur d'une nouvelle réduction des contributions versées par les cantons financièrement forts aux cantons financièrement faibles dans le cadre de la péréquation financière?;3;0;{'score': 0.380844384431839, 'start': 209478, 'end': 209505, 'answer': 'Switzerland refuses the RBI'};2;Finances;financial equalisation ;"""Should cantons support each other?"""
28; Les couples mariés devraient-ils être imposés en tant que personnes individuelles (imposition individuelle)?;1;1;{'score': 0.4336317181587219, 'start': 103074, 'end': 103097, 'answer': 'Lower business taxation'};2;Finances;"individual taxation; married";"""Do you believe in individual taxation?"""
29; Êtes-vous en faveur d'une restriction de la concurrence entre les cantons en matière d'imposition des entreprises?;1;1;{'score': 0.36985746026039124, 'start': 128566, 'end': 128567, 'answer': '.'};2;Finances;company taxation;"""Are you in favor of restricting competition between cantons in the area of corporate taxation?''"
30; Les ménages privés devraient-ils pouvoir choisir librement leur fournisseur d'électricité (libéralisation complète du marché de l'électricité)? ;4;0;{'score': 0.24360345304012299, 'start': 96927, 'end': 96990, 'answer': 'electronic voting should be in public hands or in private hands'};2;Economy;electricity;"""Should we be a able to choose their electricity supplier?"""
31; Êtes-vous favorable à l'introduction d'un salaire minimum de 4000 CHF pour toutes les personnes salariées pour un poste à plein temps?;1;1;{'score': 0.2242593765258789, 'start': 115717, 'end': 115755, 'answer': 'parliamentary committees are in favour'};2;Economy;wage;"""Are you in favor of a minimum wage?"""
32; Les entreprises suisses devraient-elles être mieux être protégées du risque de rachat par des investisseurs étrangers en introduisant des contrôles sur les investissements? ;2;1;{'score': 0.36407867074012756, 'start': 173491, 'end': 173542, 'answer': 'Switzerland should suspend its cooperation projects'};2;Economy;"FDI; investement controls; takeovers";"""Should we protect Swiss companies from foreign takeovers?"""
33; Seriez-vous favorable à une libéralisation complète des heures d'ouverture des magasins?;4;0;{'score': 0.6163979172706604, 'start': 134785, 'end': 134786, 'answer': '.'};2;Economy;"opening hours; shops";"""Should stores choose their opening hours?"""
34; Faut-il renforcer la protection contre le licenciement des travailleuses et travailleurs plus âgé·e·s? ;1;1;{'score': 0.2059544324874878, 'start': 122757, 'end': 122806, 'answer': 'It is necessary to strengthen preventive measures'};1;Economy;"dismissal; workers";"""Should the protection against dismissal of older workers be strengthened? ''"
35;La Confédération devrait-elle davantage soutenir l'offre des services publics (p. ex. transports publics poste) dans les régions rurales?;1;1;{'score': 0.285411536693573, 'start': 151813, 'end': 151867, 'answer': 'Public services must terminate any warrant with Corela'};2;Economy;"public services; post office";"""Should we support public services in rural areas?"""
36; L'expansion du réseau mobile selon la norme 5G doit-elle se poursuivre? ;3;0;{'score': 0.13327734172344208, 'start': 100490, 'end': 100549, 'answer': 'people should decide on the purchase of new combat aircraft'};2;Digitalisation;5G;"""Should we expand our 5G network?"""
37;" Les plateformes de services en ligne (p. ex. hébergement ""Airbnb"" ou taxis ""Uber"") devraient-elles être réglementées plus strictement?";1;1;{'score': 0.2181626707315445, 'start': 11829, 'end': 11865, 'answer': 'repatriate the children of jihadists'};2;Digitalisation;"Uber; Airbnb; online";"""Should we regulate online platforms?"""
38; Une initiative demande que la Suisse cesse d'utiliser les énergies fossiles à partir de 2050. Soutenez-vous cette proposition?;1;1;{'score': 0.1917300671339035, 'start': 95304, 'end': 95339, 'answer': 'There is an environmental emergency'};1;Energy;"fossil; 2050; fuel";"""Do you want to stop using fossil fuels?''"
39;Actuellement une taxe CO2 est prélevée sur les combustibles fossiles (p. ex. mazout ou gaz naturel). Cette taxe devrait-elle également être étendue aux carburants (p. ex. essence diesel etc.)?;1;1;{'score': 0.7281158566474915, 'start': 103074, 'end': 103097, 'answer': 'Lower business taxation'};2;Energy;"C02; natural gas";"""Should fuel be taxed?"""
40; La Confédération devrait-elle soutenir davantage les énergies renouvelables?;1;1;{'score': 0.3205712139606476, 'start': 133341, 'end': 133392, 'answer': 'Switzerland must support the ban on nuclear weapons'};2;Energy;"renewable; energy";"""Should we support renewable energies?"""
41; Les tronçons autoroutiers à forte fréquentation devraient-ils être étendus à six voies?;4;0;{'score': 0.10063169151544571, 'start': 147789, 'end': 147798, 'answer': 'six years'};2;Energy;"motorway; lanes";"""Should high-traffic highway sections be extended to six lanes?''"
42;" Êtes-vous favorable à l'introduction de péages routiers (""Road pricing"") pour le transport individuel motorisé sur les routes très fréquentées?";4;0;{'score': 0.16866007447242737, 'start': 57678, 'end': 57693, 'answer': 'My answer is no'};0;Energy;road pricing;"""Do you support the introduction of road pricing on busy roads?"""
43;Êtes-vous favorable à un assouplissement des mesures actuelles de protection des grands prédateurs (lynx loup ours)?;4;0;{'score': 0.26347240805625916, 'start': 115717, 'end': 115755, 'answer': 'parliamentary committees are in favour'};0;Ecology;"predators; lynx; wolf; bears";"""'Are you in favor of relaxing the current protection measures for large predators?''"
44; Le moratoire actuel sur les plantes et les animaux génétiquement modifiés devrait-il être prolongé au-delà de 2021?;1;1;{'score': 0.11352107673883438, 'start': 147789, 'end': 147798, 'answer': 'six years'};1;Ecology;"plants; genetically modified ";'Should the current moratorium on genetically modified plants and animals be extended?''
45;Les paiements directs devraient-ils être accordés qu'aux exploitations agricoles qui fournissent un bilan écologique étendu (p. ex. renoncement à l'utilisation des pesticides de synthèse et limitation de l'utilisation d'antibiotiques)?;1;1;{'score': 0.22160488367080688, 'start': 10935, 'end': 10971, 'answer': 'NO to the abolition of the stamp fee'};2;Ecology;"ecological; farms; pesticides";"'Should direct payments only be granted to farms that provide an ecological balance sheet ?"""
46; Faut-il étendre les mesures de protection de la biodiversité (p. ex. des règles plus strictes pour la construction en dehors des zones à bâtir existantes)?;1;1;{'score': 0.21770881116390228, 'start': 147789, 'end': 147798, 'answer': 'six years'};2;Ecology;biodiversity;"""Should biodiversity protection measures be extended?"""
47;Êtes-vous en faveur de réglementations plus strictes de la protection des animaux pour la détention d'animaux de rente (p. ex. l'accès permanent aux espaces extérieurs)?;1;1;{'score': 0.2803092300891876, 'start': 136646, 'end': 136647, 'answer': '.'};2;Ecology;"animal protection; livestock";"""Do you support stricter animal protection regulations for keeping livestock?"" "
48; Le financement des partis ainsi que celui des campagnes pour les élections et les votations devrait-il être transparent? ;1;1;{'score': 0.44631317257881165, 'start': 134785, 'end': 134786, 'answer': '.'};2;Politics;"campaign funding; transparency;";""" Should campaign financing be transparent? ''"
49; L'introduction du vote électronique lors des votations et des élections (E-Voting) devrait-elle être poursuivie?;1;1;{'score': 0.5649226903915405, 'start': 101697, 'end': 101758, 'answer': 'Swiss women and women from abroad want to vote electronically'};2;Politics;"e-voting; votes";"""Do you support e-voting?"""
50; Êtes-vous en faveur de l'abaissement de l'âge de vote à 16 ans?;3;0;{'score': 0.22360974550247192, 'start': 49965, 'end': 49992, 'answer': 'a big YES in the ballot box'};1;Politics;"voting age; 16";"""Should voting at 16 be allowed"""
51; La Suisse devrait-elle mettre fin à l'accord de Schengen avec l'UE et réintroduire davantage de contrôles directement aux frontières?;4;0;{'score': 0.45143112540245056, 'start': 173491, 'end': 173542, 'answer': 'Switzerland should suspend its cooperation projects'};1;Security;"border control; schengen";"""Should Switzerland end Shengen?"""
52; Faut-il renoncer au durcissement des conditions d'admission au service civil proposé par le Conseil fédéral?;1;1;{'score': 0.16206425428390503, 'start': 173491, 'end': 173542, 'answer': 'Switzerland should suspend its cooperation projects'};2;Security;civil service;"'Should the Federal Council's proposed tightening of the conditions for admission to civilian service be abandoned?"""
53; Faut-il interdire l'exportation de matériel de guerre produit en Suisse? ;1;1;{'score': 0.257453054189682, 'start': 68538, 'end': 68605, 'answer': 'Switzerland exports with the current majority more and more weapons'};2;Security;"war material; weapons";"""Should we export war material?"""
54; Êtes-vous favorable à l'acquisition de nouveaux avions de combat pour l'armée suisse? ;4;0;{'score': 0.3693976402282715, 'start': 157432, 'end': 157502, 'answer': 'The Federal Council rejects the acquisition of large-scale helicopters'};2;Security;"aircraft; swiss army";"""Are you in favor of acquiring new fighter aircraft ? ''"
55;Selon vous les moyens légaux permettant de recourir à lanalyse ADN lors denquêtes devraient-ils être étendus?;2;1;{'score': 0.46281424164772034, 'start': 134785, 'end': 134786, 'answer': '.'};2;Security;dann;"""Should we do more DNA analysis?"""
56; La Suisse doit-elle entamer des négociations d'adhésion à l'Union européenne? ;4;0;{'score': 0.45524972677230835, 'start': 134785, 'end': 134786, 'answer': '.'};2;External Relations;EU negotiations;"""Should Switzerland enter the European Union?"""
57; La Suisse devrait-elle conclure un accord de libre-échange avec les Etats-Unis? ;1;1;{'score': 0.12242742627859116, 'start': 18397, 'end': 18415, 'answer': 'not in Switzerland'};0;External Relations;"trade; USA ";"""Should Switzerland have a free trade agreement with the USA?"""
58; Une initiative demande que les règles de responsabilité des entreprises suisses en matière de respect des droits humains et des normes environnementales à l'étranger soient renforcées. Soutenez-vous cette proposition? ;1;1;{'score': 0.30106082558631897, 'start': 173491, 'end': 173542, 'answer': 'Switzerland should suspend its cooperation projects'};2;External Relations;"human rights; environment";"""Should Swiss companies have human rights and environmental standards?"""
59; Êtes-vous en faveur de la candidature de la Suisse à un siège au Conseil de sécurité de l'ONU?;1;1;{'score': 0.42105063796043396, 'start': 86484, 'end': 86500, 'answer': 'Swiss Parliament'};2;External Relations;security council;"""Should Switzerland have a seat in the UN Security council?"""
