,questions,smartvote_answers,Simplified question,Unnamed: 3,Topic,Keywords,binary_smarvote_answer,huggingface_answers
36,'expansion du réseau mobile selon la norme 5G doit-elle se poursuivre,1,"""Should we expand our 5G network?""",,Digitalisation,5G,1.0,"{'score': 0.01848991960287094, 'start': 6346, 'end': 6401, 'answer': 'we already make the team of the neighboring Switzerland'}"
37,"es plateformes de services en ligne (p. ex. hébergement ""Airbnb"" ou taxis ""Uber"") devraient-elles être réglementées plus strictemen",4,"""Should we regulate online platforms?""",,Digitalisation,Uber; Airbnb; online,0.0,"{'score': 0.015373480506241322, 'start': 6705, 'end': 6736, 'answer': ""the smell doesn't fit is racism""}"
38,ne initiative demande que la Suisse cesse d'utiliser les énergies fossiles à partir de 2050. Soutenez-vous cette propositio,4,"""Do you want to stop using fossil fuels?''",,Energy,fossil; 2050; fuel,0.0,"{'score': 0.008619213476777077, 'start': 6730, 'end': 6736, 'answer': 'racism'}"
39,"ctuellement, une taxe CO2 est prélevée sur les combustibles fossiles (p. ex. mazout ou gaz naturel). Cette taxe devrait-elle également être étendue aux carburants (p. ex. essence, diesel, etc.",4,"""Should fuel be taxed?""",,Energy,C02; natural gas,0.0,"{'score': 0.02445279248058796, 'start': 5547, 'end': 5584, 'answer': 'only should be now come seven percent'}"
40,a Confédération devrait-elle soutenir davantage les énergies renouvelable,4,"""Should we support renewable energies?""",,Energy,renewable; energy,0.0,"{'score': 0.0066594635136425495, 'start': 6327, 'end': 6401, 'answer': 'the condition that we already make the team of the neighboring Switzerland'}"
41,es tronçons autoroutiers à forte fréquentation devraient-ils être étendus à six voie,1,"""Should high-traffic highway sections be extended to six lanes?''",,Energy,motorway; lanes,1.0,"{'score': 0.0058733196929097176, 'start': 6327, 'end': 6401, 'answer': 'the condition that we already make the team of the neighboring Switzerland'}"
42,"tes-vous favorable à l'introduction de péages routiers (""Road pricing"") pour le transport individuel motorisé sur les routes très fréquentée",4,"""Do you support the introduction of road pricing on busy roads?""",,Energy,road pricing,0.0,"{'score': 0.02306627482175827, 'start': 4156, 'end': 4179, 'answer': 'burkina faso starvation'}"
43,"tes-vous favorable à un assouplissement des mesures actuelles de protection des grands prédateurs (lynx, loup, ours",1,"""'Are you in favor of relaxing the current protection measures for large predators?''",,Ecology,predators; lynx; wolf; bears,1.0,"{'score': 0.007137991022318602, 'start': 6327, 'end': 6401, 'answer': 'the condition that we already make the team of the neighboring Switzerland'}"
44,e moratoire actuel sur les plantes et les animaux génétiquement modifiés devrait-il être prolongé au-delà de 202,4,'Should the current moratorium on genetically modified plants and animals be extended?'',,Ecology,plants; genetically modified ,0.0,"{'score': 0.008088757283985615, 'start': 5544, 'end': 5594, 'answer': 'we only should be now come seven percent predicted'}"
45,es paiements directs devraient-ils être accordés qu'aux exploitations agricoles qui fournissent un bilan écologique étendu (p. ex. renoncement à l'utilisation des pesticides de synthèse et limitation de l'utilisation d'antibiotiques,4,"'Should direct payments only be granted to farms that provide an ecological balance sheet ?""",,Ecology,ecological; farms; pesticides,0.0,"{'score': 0.032040249556303024, 'start': 5544, 'end': 5584, 'answer': 'we only should be now come seven percent'}"
46,aut-il étendre les mesures de protection de la biodiversité (p. ex. des règles plus strictes pour la construction en dehors des zones à bâtir existantes,4,"""Should biodiversity protection measures be extended?""",,Ecology,biodiversity,0.0,"{'score': 0.007779860403388739, 'start': 2519, 'end': 2536, 'answer': 'innovation factor'}"
47,tes-vous en faveur de réglementations plus strictes de la protection des animaux pour la détention d'animaux de rente (p. ex. l'accès permanent aux espaces extérieurs,4,"""Do you support stricter animal protection regulations for keeping livestock?"" ",,Ecology,animal protection; livestock,0.0,"{'score': 0.011095358058810234, 'start': 4868, 'end': 4877, 'answer': 'sri lanka'}"
48,e financement des partis ainsi que celui des campagnes pour les élections et les votations devrait-il être transparent,4,""" Should campaign financing be transparent? ''",,Politics,campaign funding; transparency;,0.0,"{'score': 0.0032689538784325123, 'start': 4479, 'end': 4490, 'answer': 'microcredit'}"
49,'introduction du vote électronique lors des votations et des élections (E-Voting) devrait-elle être poursuivi,4,"""Do you support e-voting?""",,Politics,e-voting; votes,0.0,"{'score': 0.030465571209788322, 'start': 2519, 'end': 2536, 'answer': 'innovation factor'}"
50,tes-vous en faveur de l'abaissement de l'âge de vote à 16 an,4,"""Should voting at 16 be allowed""",,Politics,voting age; 16,0.0,"{'score': 0.12390945851802826, 'start': 5547, 'end': 5584, 'answer': 'only should be now come seven percent'}"
51,a Suisse devrait-elle mettre fin à l'accord de Schengen avec l'UE et réintroduire davantage de contrôles directement aux frontière,1,"""Should Switzerland end Shengen?""",,Security,border control; schengen,1.0,"{'score': 0.015149859711527824, 'start': 6327, 'end': 6401, 'answer': 'the condition that we already make the team of the neighboring Switzerland'}"
52,aut-il renoncer au durcissement des conditions d'admission au service civil proposé par le Conseil fédéra,4,"'Should the Federal Council's proposed tightening of the conditions for admission to civilian service be abandoned?""",,Security,civil service,0.0,"{'score': 0.02502201683819294, 'start': 2045, 'end': 2093, 'answer': 'the federal council must be given the permission'}"
53,aut-il interdire l'exportation de matériel de guerre produit en Suisse,4,"""Should we export war material?""",,Security,war material; weapons,0.0,"{'score': 0.016464924439787865, 'start': 6705, 'end': 6736, 'answer': ""the smell doesn't fit is racism""}"
54,tes-vous favorable à l'acquisition de nouveaux avions de combat pour l'armée suisse,1,"""Are you in favor of acquiring new fighter aircraft ? ''",,Security,aircraft; swiss army,1.0,"{'score': 0.00815554615110159, 'start': 6327, 'end': 6401, 'answer': 'the condition that we already make the team of the neighboring Switzerland'}"
55,"elon vous, les moyens légaux permettant de recourir à lanalyse ADN lors denquêtes devraient-ils être étendu",1,"""Should we do more DNA analysis?""",,Security,dann,1.0,"{'score': 0.01595541648566723, 'start': 6346, 'end': 6401, 'answer': 'we already make the team of the neighboring Switzerland'}"
56,a Suisse doit-elle entamer des négociations d'adhésion à l'Union européenne,4,"""Should Switzerland enter the European Union?""",,external_relations,EU negotiations,0.0,"{'score': 0.017985714599490166, 'start': 6327, 'end': 6401, 'answer': 'the condition that we already make the team of the neighboring Switzerland'}"
57,a Suisse devrait-elle conclure un accord de libre-échange avec les Etats-Unis,1,"""Should Switzerlad have a free trade agreement with the USA?""",,external_relations,trade; USA ,1.0,"{'score': 0.014611395075917244, 'start': 6390, 'end': 6401, 'answer': 'Switzerland'}"
58,ne initiative demande que les règles de responsabilité des entreprises suisses en matière de respect des droits humains et des normes environnementales à l'étranger soient renforcées. Soutenez-vous cette proposition,4,"""Should Swiss companies have human rights and environmental standards?""",,external_relations,human rights; environment,0.0,"{'score': 0.011754035018384457, 'start': 6730, 'end': 6736, 'answer': 'racism'}"
59,tes-vous en faveur de la candidature de la Suisse à un siège au Conseil de sécurité de l'ON,4,"""Should Switzerland have a seat in the UN Security council?""",,external_relations,security council,0.0,"{'score': 0.03418928384780884, 'start': 2045, 'end': 2112, 'answer': 'the federal council must be given the permission the terms goes yes'}"
