Unnamed: 0,tweets,time,language,translated_tweets
29,Heute bekommen sie Buchpreise für ihr fäkal-erotisches Geschreibsel ...,2022-12-03 15:21:43+00:00,"((0, 73, 'GERMAN', 'de'),)",[{'translation_text': 'Today they get book prices for their fecal-erotic writing ...'}]
31,"Schaut mal nach draussen - dunkel und windstill ... Woher nehmen wohl die Flatterstrom-Fans in diesen Tagen den Strom, um ihre E-Autos zu laden?",2022-12-03 15:19:46+00:00,"((0, 144, 'GERMAN', 'de'),)",[{'translation_text': 'Look outside - dark and still ... Where do the flutter-current fans take the current these days to charge their e-cars?'}]
32,Oder haben Sie etwas Mühe mit der Rechtschreibung?,2022-12-03 14:16:36+00:00,"((0, 51, 'GERMAN', 'de'),)",[{'translation_text': 'Or do you have some trouble spelling?'}]
33,"LGBTQI, Woke-Wahnsinn, Gendersternchen, Klimachaoten-Kleber, Strommangel usw. Wie lange machen wir – die schweigende Mehrheit – dies noch mit? Wann endlich widersetzen wir uns diesem Irrsinn und kehren zu den Tugenden des freien, rechtschaffenen Bürgertums zurück?",2022-12-03 08:26:37+00:00,"((0, 270, 'GERMAN', 'de'),)","[{'translation_text': 'LGBTQI, woke madness, gender stars, climate chaos glue, lack of electricity, etc. How long do we – the silent majority – continue to do so? When do we finally oppose this madness and return to the virtues of free, righteous citizenship?'}]"
34,"Linke Frauen schneiden sich hierzulande demonstrativ vor den Medien die ungepflegten Haare ab, um gegen die Kopftuchpflicht im Iran zu demonstrieren – kämpfen in der Schweiz aber gegen das Verhüllungsverbot…",2022-12-02 20:59:09+00:00,"((0, 213, 'GERMAN', 'de'),)",[{'translation_text': 'Left women in this country are demonstratively cutting off their unkempt hair in front of the media to demonstrate against the headscarf duty in Iran – but fighting in Switzerland against the cover-up ban...'}]
35,Das ideale Weihnachtsgeschenk für den Chaoten-Nachwuchs …,2022-11-30 17:50:54+00:00,"((0, 60, 'GERMAN', 'de'),)",[{'translation_text': 'The ideal Christmas gift for the young Chaoten ...'}]
36,Das ist die Toleranz der Linken …,2022-11-30 14:30:18+00:00,"((0, 35, 'GERMAN', 'de'),)",[{'translation_text': 'This is the tolerance of the left ...'}]
39,Männliche Wählerinnen und Wähler 🤣🤣,2022-11-27 06:53:24+00:00,"((0, 44, 'GERMAN', 'de'),)",[{'translation_text': 'Male voters'}]
40,Anonymer Feigling,2022-11-23 04:47:37+00:00,"((0, 17, 'Unknown', 'un'),)",NA
41,Anonymer Feigling - genau das Gegenteil ist wahr!,2022-11-22 21:56:59+00:00,"((0, 49, 'GERMAN', 'de'),)",[{'translation_text': 'Anonymous coward - exactly the opposite is true!'}]
42,"Wussten Sie: 
Jeder 3. Afrikaner in der Schweiz lebt von Sozialhilfe!",2022-11-22 13:08:15+00:00,"((0, 69, 'GERMAN', 'de'),)",[{'translation_text': 'Did you know: Every third African in Switzerland lives on social assistance!'}]
43,"Lernen Sie doch bitte zuerst bitte Deutsch, bevor Sie hier unqualifiziert rumlärmen …",2022-11-21 19:51:24+00:00,"((0, 88, 'GERMAN', 'de'),)","[{'translation_text': 'Please learn German first, before you come here unqualified ...'}]"
44,Aber selbstverständlich würde ich es ihr direkt ins Gesicht sagen! Diese Frau trägt zum Ruin Deutschlands bei!,2022-11-21 19:46:07+00:00,"((0, 113, 'GERMAN', 'de'),)",[{'translation_text': 'But of course I would tell her right in the face! This woman contributes to the ruin of Germany!'}]
45,Anonymer Feigling,2022-11-21 19:44:34+00:00,"((0, 17, 'Unknown', 'un'),)",NA
49,Und so eine Pfeife darf in D mitregieren … aber sie fällt ja bei der rotgrünen Kindertruppe nicht mal negativ auf,2022-11-21 05:26:20+00:00,"((0, 117, 'GERMAN', 'de'),)","[{'translation_text': ""And such a pipe may be involved in D ... but it does not even notice negatively with the red-green children's troupe""}]"
51,Ich fordere die Abschaffung der derzeitigen deutschen Regierung !,2022-11-16 06:09:55+00:00,"((0, 65, 'GERMAN', 'de'),)",[{'translation_text': 'I call for the abolition of the current German government !'}]
52,Anonymer Feigling,2022-11-15 15:52:43+00:00,"((0, 17, 'Unknown', 'un'),)",NA
54,Jetzt nur nicht noch mehr Sozialprogramme - sondern endlich konsequentes Bestrafen und anschliessendes Ausschaffen dieser nicht anpassungsfähigen Migranten!,2022-11-15 06:00:51+00:00,"((0, 157, 'GERMAN', 'de'),)",[{'translation_text': 'Now only not more social programs - but finally consistent punishment and subsequent elimination of these non-adaptable migrants!'}]
55,Tja … einige Spendengelder und auch Waffenlieferungen dürften abgezweigt worden sein …,2022-11-14 20:11:41+00:00,"((0, 91, 'GERMAN', 'de'),)",[{'translation_text': 'Well ... some donations and also weapons deliveries may have been diverted ...'}]
56,Stimmt! Auch hier besteht Nachholbedarf …,2022-11-14 18:45:03+00:00,"((0, 43, 'GERMAN', 'de'),)","[{'translation_text': ""That's right! Here, too, there is a need for catching up ...""}]"
57,"Nun, es musste inzwischen zugegeben werden, dass die Geschichte mit der Nicht-Ansteckbarkeit von Geimpften ins Reich der Märchen gehört - allerdings ein sehr, sehr teures Märchen …",2022-11-14 14:13:25+00:00,"((0, 185, 'GERMAN', 'de'),)","[{'translation_text': 'Well, it had to be admitted that the story of the non-contagiousness of vaccinated people belongs to the realm of fairy tales - but a very, very expensive fairy tale ...'}]"
58,Habe ich etwas übersehen - oder hat sich  tatsächlich noch nicht für diese ungeheure Aussage entschuldigt?,2022-11-14 10:17:54+00:00,"((0, 109, 'GERMAN', 'de'),)",[{'translation_text': 'Have I overlooked anything - or has not actually apologized for this tremendous statement?'}]
61,El Stümpel ist ein anonymer Feigling,2022-11-10 08:31:18+00:00,"((0, 37, 'Unknown', 'un'),)",NA
62,Anonymer Feigling,2022-11-06 09:39:26+00:00,"((0, 17, 'Unknown', 'un'),)",NA
63,"Da bin ich mal gespannt, wenn  gewählt würde … bei der  geht Geschlecht offenbar über Fähigkeit … sieht man ja beim amtierenden Personal …",2022-11-05 15:21:20+00:00,"((0, 148, 'GERMAN', 'de'),)","[{'translation_text': ""I'm curious, if elected ... in which sex obviously goes beyond ability ... you can see with the acting staff ...""}]"
64,Bei der Beurteilung der Zauberformel immer daran denken: Die CVP  stellt mit dem Bundeskanzler faktisch den 8. Bundesrat und ist somit komplett übervertreten!,2022-11-05 15:12:27+00:00,"((0, 159, 'GERMAN', 'de'),)","[{'translation_text': 'When assessing the magic formula, remember that the CVP, together with the Federal Chancellor, is in fact the 8th Federal Council and is therefore completely overrepresented!'}]"
65,Als Bundesrat  ein „Es“ ausschloss: Riesengeheule - wenn die  gleich „Es“ und „Ihn“ ausschliessen: Grosse Akzeptanz …,2022-11-05 06:42:19+00:00,"((0, 131, 'GERMAN', 'de'),)","[{'translation_text': 'As Federal Council a ""It"" excluded: giant howl - if the immediately ""It"" and ""It"" excluded: great acceptance ...'}]"
66,Anonymer Feigling!,2022-11-04 14:21:39+00:00,"((0, 18, 'Unknown', 'un'),)",NA
67,Bei dieser Frauenauswahl der  bleibt nur eine Lösung: 75.— und Daniela Jositsch kann übernehmen … bundesratswahlen,2022-11-04 10:46:35+00:00,"((0, 120, 'GERMAN', 'de'),)","[{'translation_text': ""In this women's choice there remains only one solution: 75.— and Daniela Jositsch can take over ... federal elections""}]"
68,Diese Person ist allerdings sehr massgebend und einer der führenden Köpfe dieser Chaoten!,2022-11-04 08:28:57+00:00,"((0, 91, 'GERMAN', 'de'),)","[{'translation_text': 'This person, however, is very decisive and one of the leading minds of these Chaoten!'}]"
69,Die Klimachaoten gehen tatsächlich über Leichen - und es ist ihnen sogar egal …,2022-11-04 07:12:58+00:00,"((0, 83, 'GERMAN', 'de'),)","[{'translation_text': ""The climate chaos actually goes over bodies - and they don't even care...""}]"
70,Auch als Justizministerin … sie richtete ein heilloses Chaos an …,2022-11-04 05:44:30+00:00,"((0, 69, 'Unknown', 'un'),)",NA
74,"Sie hatten die Gelegenheit - die Gerichte urteilen härter, wenn man die Chance auf Löschung nicht wahrnimmt …",2022-11-02 17:21:46+00:00,"((0, 113, 'GERMAN', 'de'),)",[{'translation_text': 'They had the opportunity - the courts judge harder if one does not perceive the chance of deletion ...'}]
75,"… komm, Alain - gib Dir einen Schupf …",2022-11-02 17:05:38+00:00,"((0, 42, 'GERMAN', 'de'),)","[{'translation_text': '... come on, Alain - give yourself a shoe...'}]"
76,Meine Lösung: Neben seinen Ohren ablassen - er wird den Platz räumen …,2022-11-02 11:04:47+00:00,"((0, 74, 'GERMAN', 'de'),)",[{'translation_text': 'My solution: Let off his ears - he will clear the place ...'}]
77,Dann beginnen Sie mal zu sparen … das wird richtig teuer!,2022-11-02 10:29:14+00:00,"((0, 59, 'GERMAN', 'de'),)",[{'translation_text': 'Then start saving ... this will be really expensive!'}]
78,Ich gebe Ihnen Zeit bis heute 16.00 um diesen Tweet zu löschen - ansonsten reiche ich Strafanzeige gegen Sie ein!,2022-11-02 10:12:09+00:00,"((0, 114, 'GERMAN', 'de'),)","[{'translation_text': ""I'll give you time until 16.00 today to delete this tweet - otherwise I'll file a lawsuit against you!""}]"
79,Er bestreitet ja gar nicht den Klimawandel …,2022-11-02 08:24:30+00:00,"((0, 46, 'GERMAN', 'de'),)","[{'translation_text': ""He doesn't deny climate change at all...""}]"
80,"Liebe Klimachaoten und -chaotinnen - mit diesem Tweet habt Ihr Euch endgültig entlarvt - Ihr geht über Leichen - danke, wir haben verstanden!",2022-11-02 08:18:46+00:00,"((0, 143, 'GERMAN', 'de'),)","[{'translation_text': 'Dear Climate Chaotes and Chaotes - with this tweet you have finally exposed yourself - you go over corpses - thank you, we understand!'}]"
81,"„Nennen Sie mir ein Land, in dem Journalisten und Politiker sich vertragen, und ich sage Ihnen, das ist keine Demokratie.“
– Hugh Greene (1910-1987), britischer Publizist und einer der Gründerväter des deutschen öffentlich-rechtlichen Rundfunks",2022-11-01 18:11:33+00:00,"((0, 253, 'GERMAN', 'de'),)","[{'translation_text': '""Name me a country where journalists and politicians get along, and I\'m telling you this isn\'t a democracy."" – Hugh Greene (1910-1987), British journalist and one of the founding fathers of German public broadcasting'}]"
82,Endlich!,2022-10-30 21:52:15+00:00,"((0, 8, 'Unknown', 'un'),)",NA
83,"Und Sie schicken wir in ein Intensivseminar für Rechtschreibung - ich kenne Institute, die auch bei schwierigen Fällen recht gute Ergebnisse erzielen …",2022-10-30 20:06:39+00:00,"((0, 155, 'GERMAN', 'de'),)","[{'translation_text': ""And we'll send you to an intensive spelling seminar - I know institutes that achieve quite good results even in difficult cases ...""}]"
84,Anonymer Feigling,2022-10-30 14:51:07+00:00,"((0, 17, 'Unknown', 'un'),)",NA
85,Wovon träumen Sie in der Nacht?,2022-10-30 14:34:24+00:00,"((0, 32, 'GERMAN', 'de'),)",[{'translation_text': 'What do you dream of at night?'}]
86,"Schon aufgefallen? 

Die meisten der sich anklebenden Klimachaoten wirken  ungepflegt - und sind es auch! Genau so, wie halt die meisten Kommunisten und Umstürzler.",2022-10-30 10:39:56+00:00,"((0, 165, 'GERMAN', 'de'),)",[{'translation_text': 'Have you noticed? Most of the sticky climate chaoss seem unkempt - and so are they! Just like most communists and revolutionists.'}]
87,Also immerhin wurde von seiner Fangruppe kurze Zeit später Einiges zusammengeschlagen …,2022-10-27 14:33:09+00:00,"((0, 90, 'GERMAN', 'de'),)","[{'translation_text': 'So after all, some things were beaten up by his fan group a short time later ...'}]"
88,"erwähnt in einem Artikel,  habe als BR-Kandidatin abgesagt - dabei hat Martina Bircher sich gar nicht gemeldet … fakenews bei der",2022-10-27 11:33:32+00:00,"((0, 132, 'GERMAN', 'de'),)","[{'translation_text': 'mentioned in an article, had canceled as a BR candidate - Martina Bircher did not even report ... fakenews at the'}]"
89,Und hier ?,2022-10-27 05:27:08+00:00,"((0, 10, 'Unknown', 'un'),)",NA
92,Ich habe Mitleid mit der Tochter … aber nicht wegen des „Klimawandels“,2022-10-27 04:38:12+00:00,"((0, 76, 'GERMAN', 'de'),)","[{'translation_text': 'I feel sorry for the daughter ... but not for the ""climate change""'}]"
95,Dominik Waser ist Klimachaot und besetzte widerrechtlich den Bundesplatz,2022-10-25 13:48:27+00:00,"((0, 72, 'GERMAN', 'de'),)",[{'translation_text': 'Dominik Waser is a climate chaos and illegally occupied the Bundesplatz'}]
98,Gut so - hoffentlich für lange Zeit !,2022-10-24 07:23:42+00:00,"((0, 38, 'GERMAN', 'de'),)",[{'translation_text': 'Good so - hopefully for a long time !'}]
99,"Dann kann mir ja nichts passieren, denn Wähler:innen gibt es ja gar nicht",2022-10-24 03:45:04+00:00,"((0, 74, 'GERMAN', 'de'),)","[{'translation_text': 'Then nothing can happen to me, because voters: there is no'}]"
100,Herzlichen Dank,2022-10-23 20:16:22+00:00,"((0, 15, 'Unknown', 'un'),)",NA
101,Dafür muss ich Sie nun wirklich in aller Form um Entschuldigung bitten - da waren echt nicht Sie gemeint!,2022-10-23 19:10:05+00:00,"((0, 106, 'GERMAN', 'de'),)",[{'translation_text': 'For this I really have to apologize to you in all form - you were really not meant!'}]
102,"Sie würden wohl besser zu den Gerichtsterminen erscheinen, statt hier solchen Schrott zu schreiben!",2022-10-23 17:12:00+00:00,"((0, 100, 'GERMAN', 'de'),)","[{'translation_text': ""I think you'd better come to the court dates instead of writing such junk here!""}]"
103,Zufälle gibt es …,2022-10-23 16:10:33+00:00,"((0, 20, 'Unknown', 'un'),)",NA
104,"Ich erhol mich kaum vor Lachen - klebt sich am Boden fest und vergisst, dass auch er als Uni-Professor ab und zu mal ein menschliches Bedürfnis hat 🤣 you made my day !",2022-10-23 09:40:31+00:00,"((0, 171, 'GERMAN', 'de'),)","[{'translation_text': 'I hardly recover from laughter - stuck to the ground and forgets that he, too, as a university professor, sometimes has a human need -- you made my day!'}]"
106,"Ich hoffe, die Uni Kiel schmeisst ihn am Montag raus!",2022-10-23 09:38:23+00:00,"((0, 53, 'GERMAN', 'de'),)",[{'translation_text': 'I hope the University of Kiel throws him out on Monday!'}]
107,Anonymer Feigling,2022-10-22 09:30:02+00:00,"((0, 17, 'Unknown', 'un'),)",NA
108,Anonymer Feigling,2022-10-21 19:36:07+00:00,"((0, 17, 'Unknown', 'un'),)",NA
109,Neutralität geht anders - wer stoppt   ?,2022-10-21 11:10:49+00:00,"((0, 41, 'GERMAN', 'de'),)",[{'translation_text': 'Neutrality goes differently - who stops ?'}]
110,Neutralität geht anders - wer stoppt   ?,2022-10-21 10:05:58+00:00,"((0, 41, 'GERMAN', 'de'),)",[{'translation_text': 'Neutrality goes differently - who stops ?'}]
111,Gerne!,2022-10-18 16:47:57+00:00,"((0, 6, 'Unknown', 'un'),)",NA
112,"… auf diese Bewegung Richtung Abgrund und Armut können wir gerne verzichten! Gebt endlich zu, dass die Energiestrategie kläglich gescheitert ist!",2022-10-18 15:39:03+00:00,"((0, 149, 'GERMAN', 'de'),)",[{'translation_text': '... we can do without this movement towards abyss and poverty! Finally admit that the energy strategy failed miserably!'}]
114,"Diese Klimachaoten gehören endlich gestoppt! Egal ob „er“, „sie“, „es“ oder „noch nicht ganz im Klaren“",2022-10-17 12:32:45+00:00,"((0, 120, 'GERMAN', 'de'),)","[{'translation_text': 'These climate chaoss are finally stopped! No matter if ""he,"" ""they,"" ""it,"" or ""not quite clear.""'}]"
115,Ab einer gewissen Minustemperatur leider nicht mehr … aber das muss man wohl als linksverblendeter Fanatiker nicht wissen,2022-10-17 06:08:12+00:00,"((0, 123, 'GERMAN', 'de'),)","[{'translation_text': ""At a certain minus temperature unfortunately no more ... but you don't have to know that as a left-over fanatic""}]"
116,Ich bin erschüttert 🤣🤣🤣,2022-10-17 06:06:46+00:00,"((0, 33, 'Unknown', 'un'),)",NA
117,Anonymer Feigling,2022-10-16 19:48:00+00:00,"((0, 17, 'Unknown', 'un'),)",NA
118,"Ich gebe Ihnen 1 Tag Zeit, zu beweisen, wann und wo ich als Rassist verurteilt worden bin - oder diesen Post zu löschen - anschliessend werde ich Strafanzeige gegen Sie einreichen!",2022-10-16 19:45:38+00:00,"((0, 181, 'GERMAN', 'de'),)","[{'translation_text': ""I'll give you one day to prove when and where I've been convicted as a racist - or to delete this post - then I'll file a lawsuit against you!""}]"
119,Es kommt noch schlimmer: Auf Anraten des Bundes werden Öl- und Gasheizungen durch Wärmepumpen ersetzt .. aber die neuen Wärmepumpen werden diesen Winter voraussichtlich durch Strom aus Öl- oder Gasturbinen betrieben …,2022-10-16 19:30:49+00:00,"((0, 223, 'GERMAN', 'de'),)","[{'translation_text': 'It gets even worse: On the advice of the federal government, oil and gas heaters are replaced by heat pumps .. but the new heat pumps are expected to be powered by electricity from oil or gas turbines this winter ...'}]"
120,"Rausschmeissen - damit sie sich in der Privatwirtschaft bewähren muss und die Sorgen und Nöte der Leute kennenlernt, denen sie mit ihren hirnverbrannten Aktionen das Leben schwer macht!",2022-10-16 12:00:55+00:00,"((0, 187, 'GERMAN', 'de'),)",[{'translation_text': 'Throwing out - so that she has to prove herself in the private sector and get to know the worries and hardships of the people who make her life difficult with her brain-burned actions!'}]
121,"„Mit Ideologie lässt sich nicht heizen“
Liebes Deutschland, wach endlich auf!",2022-10-15 18:14:05+00:00,"((0, 82, 'GERMAN', 'de'),)","[{'translation_text': '""Ideology cannot be used to heat up Dear Germany, wake up at last!'}]"
122,Jetzt schaut Euch bitte dieses Video an und teilt es! Ein angeblich besorgter Klimachaot klebt sich fest und schmeisst das aus Kunststoff bestehende Leimfläschchen einfach in den Abfluss … 🤬🤬🤬,2022-10-12 02:38:25+00:00,"((0, 204, 'GERMAN', 'de'),)",[{'translation_text': 'Now please look at this video and share it! An allegedly concerned climate chaos sticks to it and simply pours the plastic glue bottle into the drain ...'}]
124,"Schlimm ist nicht seine Ausrede, schlimm ist, dass der  diese unkritisch und ohne zu hinterfragen übernimmt!",2022-10-04 10:04:08+00:00,"((0, 109, 'GERMAN', 'de'),)","[{'translation_text': 'Bad is not his excuse, bad is that he takes over these uncritically and without questioning!'}]"
125,Welchen Beigeschmack denn? Können Sie dies näher beschreiben? Oder fühlen Sie sich einfach gerade woke-mässig unwohl?,2022-10-04 07:27:22+00:00,"((0, 121, 'GERMAN', 'de'),)",[{'translation_text': 'What by taste? Can you describe this more closely? Or do you just feel really uncomfortable?'}]
126,"Ach, der gute Schüpbach kriecht wieder mal aus seinem Loch …",2022-10-03 20:31:09+00:00,"((0, 63, 'GERMAN', 'de'),)","[{'translation_text': 'Oh, the good Schüpbach crawls out of his hole again ...'}]"
127,Anonymer Feigling und Dummschwätzer,2022-10-03 19:15:56+00:00,"((0, 36, 'Unknown', 'un'),)",NA
128,Wie genau flog er weiter ? Er war 20 Minuten von der Grenze weg !,2022-10-03 19:15:22+00:00,"((0, 65, 'GERMAN', 'de'),)",[{'translation_text': 'How exactly did he fly on? He was 20 minutes away from the border!'}]
129,Sie haben keine Ahnung - aber hier mal so rumposaunen … 🤮,2022-10-03 19:13:52+00:00,"((0, 62, 'GERMAN', 'de'),)",[{'translation_text': 'You have no idea - but here once so rumpünnen ...'}]
130,"Sie haben keine Ahnung, wo wir waren - aber hier mal rumposaunen …",2022-10-03 19:13:07+00:00,"((0, 68, 'GERMAN', 'de'),)","[{'translation_text': ""You have no idea where we've been, but you've been poking around here...""}]"
131,"Sie scheinen nicht begriffen zu haben, dass ich nie ein Flugverbot für Kurzstrecken forderte - Wermuth hingegen schon - und dabei erwähnte er explizit Budapest!",2022-10-03 19:11:56+00:00,"((0, 162, 'GERMAN', 'de'),)","[{'translation_text': 'They do not seem to have understood that I never called for a flight ban for short distances - Wermuth, on the other hand - and he explicitly mentioned Budapest!'}]"
132,"Es geht nicht an, dass Wermuth die Bürger in den Zug zwingen will, aber selbst überall hin den Flieger nimmt!",2022-10-03 18:30:51+00:00,"((0, 111, 'GERMAN', 'de'),)","[{'translation_text': ""It's not up to Vermuth to force the citizens on the train, but even everywhere to take the plane!""}]"
133,"Ihr dürft 3x raten, wer gestern im Flugzeug nach Budapest sass … unser lieber NR 
 Wer jetzt noch SP wählt, ist selber schuld …",2022-10-02 18:40:18+00:00,"((0, 133, 'GERMAN', 'de'),)","[{'translation_text': 'You can guess 3x, who sat yesterday on the plane to Budapest ... our dear NR Who now still chooses SP, is to blame ...'}]"
134,Lieber  ich gratuliere Dir herzlich zu Deinem 60. Geburtstag!,2022-10-01 06:02:34+00:00,"((0, 61, 'GERMAN', 'de'),)","[{'translation_text': ""I'd rather congratulate you on your 60th birthday!""}]"
135,"Wunderbar, wie hier für das Totalversagen von Linken immer tolle Ausreden gefunden werden …",2022-09-30 10:12:42+00:00,"((0, 94, 'GERMAN', 'de'),)",[{'translation_text': 'Wonderful how great excuses are always found here for the total failure of the left ...'}]
136,"Jay hat nicht gepennt 🤣 ja, und die Erde ist eine Scheibe …",2022-09-30 06:17:36+00:00,"((0, 64, 'GERMAN', 'de'),)","[{'translation_text': ""Jay hasn't been sleeping, yes, and the Earth is a disk...""}]"
137,"Wer jetzt noch SP wählt, ist wirklich nicht mehr zu retten …",2022-09-29 16:28:36+00:00,"((0, 63, 'GERMAN', 'de'),)","[{'translation_text': 'Who now still chooses SP, is really no longer to save ...'}]"
138,Wieso jetzt die Ablenkung?,2022-09-27 20:52:10+00:00,"((0, 26, 'Unknown', 'un'),)",NA
