,questions,smartvote_answers,Simplified question,Unnamed: 3,Topic,Keywords,binary_smarvote_answer,huggingface_answers
30,es ménages privés devraient-ils pouvoir choisir librement leur fournisseur d'électricité (libéralisation complète du marché de l'électricité),1,"""Should we be a able to choose their electricity supplier?""",,Economy,electricity,1.0,"{'score': 0.07609321922063828, 'start': 1772, 'end': 1803, 'answer': 'Which of the two FDP government'}"
31,tes-vous favorable à l'introduction d'un salaire minimum de 4000 CHF pour toutes les personnes salariées pour un poste à plein temp,4,"""Are you in favor of a minimum wage?""",,Economy,wage,0.0,"{'score': 0.05705270543694496, 'start': 1785, 'end': 1788, 'answer': 'two'}"
32,es entreprises suisses devraient-elles être mieux être protégées du risque de rachat par des investisseurs étrangers en introduisant des contrôles sur les investissements,2,"""Should we protect Swiss companies from foreign takeovers?""",,Economy,FDI; investement controls; takeovers,1.0,"{'score': 0.09121527522802353, 'start': 1785, 'end': 1811, 'answer': 'two FDP government members'}"
33,eriez-vous favorable à une libéralisation complète des heures d'ouverture des magasin,1,"""Should stores choose their opening hours?""",,Economy,opening hours; shops,1.0,"{'score': 0.061035022139549255, 'start': 1624, 'end': 1651, 'answer': 'close shops and restaurants'}"
34,aut-il renforcer la protection contre le licenciement des travailleuses et travailleurs plus âgé·e·s,4,"""Should the protection against dismissal of older workers be strengthened? ''",,Economy,dismissal; workers,0.0,"{'score': 0.22412267327308655, 'start': 1789, 'end': 1792, 'answer': 'FDP'}"
35,"a Confédération devrait-elle davantage soutenir l'offre des services publics (p. ex. transports publics, poste) dans les régions rurale",1,"""Should we support public services in rural areas?""",,Economy,public services; post office,1.0,"{'score': 0.14213068783283234, 'start': 1785, 'end': 1788, 'answer': 'two'}"
36,'expansion du réseau mobile selon la norme 5G doit-elle se poursuivre,1,"""Should we expand our 5G network?""",,Digitalisation,5G,1.0,"{'score': 0, 'start': 0, 'end': 0, 'answer': 'N/A'}"
37,"es plateformes de services en ligne (p. ex. hébergement ""Airbnb"" ou taxis ""Uber"") devraient-elles être réglementées plus strictemen",4,"""Should we regulate online platforms?""",,Digitalisation,Uber; Airbnb; online,0.0,"{'score': 0, 'start': 0, 'end': 0, 'answer': 'N/A'}"
38,ne initiative demande que la Suisse cesse d'utiliser les énergies fossiles à partir de 2050. Soutenez-vous cette propositio,4,"""Do you want to stop using fossil fuels?''",,Energy,fossil; 2050; fuel,0.0,"{'score': 0.13115081191062927, 'start': 2677, 'end': 2720, 'answer': 'can one no longer say ""motorway"" or ""driver'}"
39,"ctuellement, une taxe CO2 est prélevée sur les combustibles fossiles (p. ex. mazout ou gaz naturel). Cette taxe devrait-elle également être étendue aux carburants (p. ex. essence, diesel, etc.",4,"""Should fuel be taxed?""",,Energy,C02; natural gas,0.0,"{'score': 0.5813702940940857, 'start': 2385, 'end': 2403, 'answer': 'higher fuel prices'}"
40,a Confédération devrait-elle soutenir davantage les énergies renouvelable,4,"""Should we support renewable energies?""",,Energy,renewable; energy,0.0,"{'score': 0.09259448945522308, 'start': 1285, 'end': 1313, 'answer': 'RAVs not doing the job right'}"
41,es tronçons autoroutiers à forte fréquentation devraient-ils être étendus à six voie,1,"""Should high-traffic highway sections be extended to six lanes?''",,Energy,motorway; lanes,1.0,"{'score': 0.6620126962661743, 'start': 1650, 'end': 1668, 'answer': 'drivers and planes'}"
42,"tes-vous favorable à l'introduction de péages routiers (""Road pricing"") pour le transport individuel motorisé sur les routes très fréquentée",4,"""Do you support the introduction of road pricing on busy roads?""",,Energy,road pricing,0.0,"{'score': 0.22332070767879486, 'start': 1650, 'end': 1668, 'answer': 'drivers and planes'}"
43,"tes-vous favorable à un assouplissement des mesures actuelles de protection des grands prédateurs (lynx, loup, ours",1,"""'Are you in favor of relaxing the current protection measures for large predators?''",,Ecology,predators; lynx; wolf; bears,1.0,"{'score': 7.459207722604333e-07, 'start': 203, 'end': 228, 'answer': 'Eritreans stay in Eritrea'}"
44,e moratoire actuel sur les plantes et les animaux génétiquement modifiés devrait-il être prolongé au-delà de 202,4,'Should the current moratorium on genetically modified plants and animals be extended?'',,Ecology,plants; genetically modified ,0.0,"{'score': 1.8851418417398236e-06, 'start': 203, 'end': 228, 'answer': 'Eritreans stay in Eritrea'}"
45,es paiements directs devraient-ils être accordés qu'aux exploitations agricoles qui fournissent un bilan écologique étendu (p. ex. renoncement à l'utilisation des pesticides de synthèse et limitation de l'utilisation d'antibiotiques,4,"'Should direct payments only be granted to farms that provide an ecological balance sheet ?""",,Ecology,ecological; farms; pesticides,0.0,"{'score': 3.6165653000352904e-05, 'start': 264, 'end': 306, 'answer': 'Their ecological footprint is much smaller'}"
46,aut-il étendre les mesures de protection de la biodiversité (p. ex. des règles plus strictes pour la construction en dehors des zones à bâtir existantes,4,"""Should biodiversity protection measures be extended?""",,Ecology,biodiversity,0.0,"{'score': 5.418575710791629e-06, 'start': 203, 'end': 228, 'answer': 'Eritreans stay in Eritrea'}"
47,tes-vous en faveur de réglementations plus strictes de la protection des animaux pour la détention d'animaux de rente (p. ex. l'accès permanent aux espaces extérieurs,4,"""Do you support stricter animal protection regulations for keeping livestock?"" ",,Ecology,animal protection; livestock,0.0,"{'score': 2.410147772025084e-06, 'start': 203, 'end': 228, 'answer': 'Eritreans stay in Eritrea'}"
48,e financement des partis ainsi que celui des campagnes pour les élections et les votations devrait-il être transparent,4,""" Should campaign financing be transparent? ''",,Politics,campaign funding; transparency;,0.0,"{'score': 5.439334563561715e-05, 'start': 0, 'end': 12, 'answer': 'If the media'}"
49,'introduction du vote électronique lors des votations et des élections (E-Voting) devrait-elle être poursuivi,4,"""Do you support e-voting?""",,Politics,e-voting; votes,0.0,"{'score': 0.00017212185775861144, 'start': 0, 'end': 12, 'answer': 'If the media'}"
50,tes-vous en faveur de l'abaissement de l'âge de vote à 16 an,4,"""Should voting at 16 be allowed""",,Politics,voting age; 16,0.0,"{'score': 0.0004659912083297968, 'start': 0, 'end': 60, 'answer': 'If the media were not so left, we would have much more votes'}"
51,a Suisse devrait-elle mettre fin à l'accord de Schengen avec l'UE et réintroduire davantage de contrôles directement aux frontière,1,"""Should Switzerland end Shengen?""",,Security,border control; schengen,1.0,"{'score': 0.2705770432949066, 'start': 7427, 'end': 7466, 'answer': 'this unworthy activity must have an end'}"
52,aut-il renoncer au durcissement des conditions d'admission au service civil proposé par le Conseil fédéra,4,"'Should the Federal Council's proposed tightening of the conditions for admission to civilian service be abandoned?""",,Security,civil service,0.0,"{'score': 0.09248808026313782, 'start': 2310, 'end': 2320, 'answer': 'Not at all'}"
53,aut-il interdire l'exportation de matériel de guerre produit en Suisse,4,"""Should we export war material?""",,Security,war material; weapons,0.0,"{'score': 0.2371477484703064, 'start': 482, 'end': 515, 'answer': 'If you send weapons, you want war'}"
54,tes-vous favorable à l'acquisition de nouveaux avions de combat pour l'armée suisse,1,"""Are you in favor of acquiring new fighter aircraft ? ''",,Security,aircraft; swiss army,1.0,"{'score': 0.19099178910255432, 'start': 5402, 'end': 5421, 'answer': 'open and unhindered'}"
55,"elon vous, les moyens légaux permettant de recourir à lanalyse ADN lors denquêtes devraient-ils être étendu",1,"""Should we do more DNA analysis?""",,Security,dann,1.0,"{'score': 0.060811202973127365, 'start': 5972, 'end': 6006, 'answer': 'We SVP-ler are open and unhindered'}"
56,a Suisse doit-elle entamer des négociations d'adhésion à l'Union européenne,4,"""Should Switzerland enter the European Union?""",,external_relations,EU negotiations,0.0,"{'score': 0.09149236977100372, 'start': 1145, 'end': 1172, 'answer': 'could ask for EU membership'}"
57,a Suisse devrait-elle conclure un accord de libre-échange avec les Etats-Unis,1,"""Should Switzerlad have a free trade agreement with the USA?""",,external_relations,trade; USA ,1.0,"{'score': 0.014309595339000225, 'start': 1159, 'end': 1172, 'answer': 'EU membership'}"
58,ne initiative demande que les règles de responsabilité des entreprises suisses en matière de respect des droits humains et des normes environnementales à l'étranger soient renforcées. Soutenez-vous cette proposition,4,"""Should Swiss companies have human rights and environmental standards?""",,external_relations,human rights; environment,0.0,"{'score': 0.014915951527655125, 'start': 1563, 'end': 1601, 'answer': 'The left-wing professional-SVP-Bashers'}"
59,tes-vous en faveur de la candidature de la Suisse à un siège au Conseil de sécurité de l'ON,4,"""Should Switzerland have a seat in the UN Security council?""",,external_relations,security council,0.0,"{'score': 0.008704278618097305, 'start': 1159, 'end': 1172, 'answer': 'EU membership'}"
